NFLX,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
633,512.5,518.02,3981743,526.51,506.59,513.8987,111108,2021-03-12 05:00:00
634,516.32,520.25,3483319,520.729,508.03,513.9393,90208,2021-03-15 04:00:00
635,524.47,524.03,3238888,533.42,523.21,527.5793,78776,2021-03-16 04:00:00
636,522,524.44,2817376,528.3654,514.3,520.8504,72474,2021-03-17 04:00:00
637,516.3959,504.79,4093206,517.9,503.85,509.9204,102982,2021-03-18 04:00:00
638,504.96,512.18,4382790,513.19,501.63,509.4965,81462,2021-03-19 04:00:00
639,509.13,523.11,3356762,529.31,509.13,523.5737,83693,2021-03-22 04:00:00
640,529.87,535.09,5583461,543.12,529.4,537.2008,125712,2021-03-23 04:00:00
641,533.78,520.81,4067211,534.42,520,525.4103,83662,2021-03-24 04:00:00
642,516.99,502.86,4916664,518.53,497,505.7211,128579,2021-03-25 04:00:00
643,502.82,508.05,3437797,508.72,496.68,503.4595,94864,2021-03-26 04:00:00
644,505.66,513.95,3330049,518,504.4,511.6929,88606,2021-03-29 04:00:00
645,510.505,513.39,2418129,514.41,506.91,511.3048,61680,2021-03-30 04:00:00
646,515.675,521.66,3503111,528.13,515.44,523.0297,87112,2021-03-31 04:00:00
647,529.93,539.42,3938637,540.5,527.03,535.3244,102554,2021-04-01 04:00:00
648,540.01,540.67,3355904,542.85,529.23,538.9181,80603,2021-04-05 04:00:00
649,544.81,544.53,3474205,554.165,543.3,547.605,82955,2021-04-06 04:00:00
650,543.5,546.99,2151319,549.64,541.45,546.5137,52911,2021-04-07 04:00:00
651,551.13,554.58,4289829,556.899,547.57,552.7538,89844,2021-04-08 04:00:00
652,552.69,555.31,2894034,556.9,547.11,553.021,74156,2021-04-09 04:00:00
653,551.05,552.78,2944060,557.98,549.58,553.3519,73893,2021-04-12 04:00:00
654,557,553.73,2720344,559.75,550.3,554.5506,75168,2021-04-13 04:00:00
655,554.87,540.02,3740294,554.87,538.53,543.4696,99435,2021-04-14 04:00:00
656,544.17,549.22,3139050,553.49,542.66,549.2883,89635,2021-04-15 04:00:00
657,550.54,546.54,3209075,551.98,539.51,545.3053,81239,2021-04-16 04:00:00
658,546.9,554.44,4272215,556.44,545.53,551.3053,106195,2021-04-19 04:00:00
659,554.42,549.57,11257648,563.56,546.3,527.4844,240986,2021-04-20 04:00:00
660,508,508.9,22897446,515.46,503.6001,509.0515,448664,2021-04-21 04:00:00
661,513.82,508.78,9048312,513.96,500.55,505.0684,219964,2021-04-22 04:00:00
662,509.01,505.55,7274459,509.7,500.7,504.5842,156549,2021-04-23 04:00:00
663,506.76,510.3,4388839,510.48,503,507.4542,108267,2021-04-26 04:00:00
664,512.62,505.55,3761327,512.99,504.5808,507.5174,97620,2021-04-27 04:00:00
665,505.2,506.52,3192983,508.395,503.34,506.2857,86952,2021-04-28 04:00:00
666,507.6,509,5127792,509.29,499,504.7645,127282,2021-04-29 04:00:00
667,505,513.47,4388242,514.55,505,512.0498,104473,2021-04-30 04:00:00
668,512.65,509.11,4091895,518.95,505.2,509.8204,107072,2021-05-03 04:00:00
669,510.78,503.18,4249502,511.63,496.79,501.9354,117197,2021-05-04 04:00:00
670,504.99,496.08,3121866,507.7843,494.63,500.1151,95292,2021-05-05 04:00:00
671,495.99,499.55,3783698,499.55,491.37,495.7677,97465,2021-05-06 04:00:00
672,504.62,503.84,3132786,508.55,501.12,504.523,91287,2021-05-07 04:00:00
673,502,486.69,5131632,503.15,486.11,491.5356,122384,2021-05-10 04:00:00
674,479.75,495.08,4401000,497.99,478.63,491.2964,126115,2021-05-11 04:00:00
675,486.83,484.98,4011540,493.54,482.7,486.7091,106645,2021-05-12 04:00:00
676,489.13,486.66,2716561,490.775,482.71,486.941,83487,2021-05-13 04:00:00
677,487.86,493.37,2823964,494.85,486.59,492.0715,80240,2021-05-14 04:00:00
678,485.59,488.94,2705249,492.71,482.81,487.2399,79829,2021-05-17 04:00:00
679,488.395,486.28,2350496,493.4778,486.1895,489.0275,73478,2021-05-18 04:00:00
680,481.625,487.7,3349180,488.57,478.54,484.6058,87703,2021-05-19 04:00:00
681,489.55,501.67,3677018,502.7,488.975,500.2903,95124,2021-05-20 04:00:00
682,503.12,497.89,3318965,505.4,497.26,500.1757,73369,2021-05-21 04:00:00
683,501.05,502.9,2412595,504.25,499.51,502.4631,70829,2021-05-24 04:00:00
684,506,501.34,2699459,506.365,499.22,501.543,72530,2021-05-25 04:00:00
685,502.34,502.36,2465303,504.14,500.5,502.5753,61964,2021-05-26 04:00:00
686,501.8,503.86,3253773,505.1,498.54,502.9357,70310,2021-05-27 04:00:00
687,504.4,502.81,2911297,511.76,502.53,506.3149,86465,2021-05-28 04:00:00
688,504.01,499.08,2482555,505.41,497.7443,500.5701,72931,2021-06-01 04:00:00
689,499.82,499.24,2268979,503.22,495.82,499.0878,73625,2021-06-02 04:00:00
690,495.19,489.43,3778915,496.66,487.25,490.4376,104678,2021-06-03 04:00:00
691,492,494.74,3160487,501.86,490.95,496.2666,79688,2021-06-04 04:00:00
692,492.9169,494.66,2791932,496.7,490.55,493.2271,73541,2021-06-07 04:00:00
693,497,492.39,2374037,498.82,489.37,492.958,68297,2021-06-08 04:00:00
694,494.5,485.81,3055029,496.09,484.65,489.0389,81224,2021-06-09 04:00:00
695,487.165,487.27,4353428,490.21,482.14,486.8589,112351,2021-06-10 04:00:00
696,490,488.77,3123969,491.41,487.78,489.4804,71926,2021-06-11 04:00:00
697,489.68,499.89,4400222,503.5,486.91,498.7135,116816,2021-06-14 04:00:00
698,501.23,491.9,3099523,501.23,490.4,493.4669,91421,2021-06-15 04:00:00
699,495,492.41,3458206,496.46,486.28,492.2067,91523,2021-06-16 04:00:00
700,490.25,498.34,3195673,501.8,490.15,498.2101,95941,2021-06-17 04:00:00
701,496.4,500.77,5197576,504.49,495.24,500.7688,103712,2021-06-18 04:00:00
702,501.64,497,5277297,502.05,492.28,495.8148,106679,2021-06-21 04:00:00
703,498.54,508.82,5809271,513.55,495.795,505.2946,130136,2021-06-22 04:00:00
704,508.48,512.74,3935752,516.63,508.2,512.7534,94744,2021-06-23 04:00:00
705,517.96,518.06,3325502,520.96,514.4001,517.6207,93825,2021-06-24 04:00:00
706,528.84,527.07,5299072,533.06,525,528.3894,120705,2021-06-25 04:00:00
707,528.12,533.03,2820227,533.9399,524.56,530.4717,86150,2021-06-28 04:00:00
708,533.55,533.5,2314647,536.13,528.57,532.4617,71690,2021-06-29 04:00:00
709,534.0551,528.21,2773445,534.38,526.82,529.8674,75860,2021-06-30 04:00:00
710,525.72,533.54,2805402,537.04,525.72,533.367,73700,2021-07-01 04:00:00
711,535.5,533.98,1980316,538.5351,529.39,533.2821,59145,2021-07-02 04:00:00
712,533,541.64,2774226,542.86,533,539.2459,85488,2021-07-06 04:00:00
713,544.24,535.96,2722498,544.64,531.66,537.0775,84277,2021-07-07 04:00:00
714,530.93,530.76,3266428,535.5,529.09,531.5462,77732,2021-07-08 04:00:00
715,531,535.98,2777231,538.26,528.58,534.977,69349,2021-07-09 04:00:00
716,540.3,537.31,1780738,540.6497,532.92,536.1625,57048,2021-07-12 04:00:00
717,535.76,540.68,2751593,545.33,535.76,541.3152,74911,2021-07-13 04:00:00
718,541.01,547.95,4659535,554.1,541.01,550.1749,118096,2021-07-14 04:00:00
719,553.97,542.95,5713873,557.5399,538.2,546.4525,138326,2021-07-15 04:00:00
720,541.81,530.31,3442101,544.06,527.05,533.3587,87665,2021-07-16 04:00:00
721,526.05,532.28,3885764,534.913,522.2401,529.8626,102554,2021-07-19 04:00:00
722,526.07,531.05,6930440,536.64,520.3,527.6655,165288,2021-07-20 04:00:00
723,526.13,513.63,11906793,530.99,505.61,512.8797,248108,2021-07-21 04:00:00
724,510.2059,511.77,4320825,513.68,507,509.8511,114115,2021-07-22 04:00:00
725,512.16,515.41,3820478,517.41,504.66,511.8426,98076,2021-07-23 04:00:00
726,514.38,516.49,2254538,521.13,509.0101,516.7476,69016,2021-07-26 04:00:00
727,518.08,518.91,2759037,521.95,512.05,517.3321,79846,2021-07-27 04:00:00
728,521.82,519.3,2390466,524.47,516.98,520.4081,68834,2021-07-28 04:00:00
729,519.96,514.25,1736014,520.7799,513.7927,516.7032,61554,2021-07-29 04:00:00
730,512.69,517.57,2537107,519.79,510.9642,516.9862,66443,2021-07-30 04:00:00
731,519,515.15,2096632,519.85,510.51,515.894,61642,2021-08-02 04:00:00
732,514.39,510.82,2579427,515.63,505.37,510.0444,73854,2021-08-03 04:00:00
733,513,517.35,2039374,517.98,510.37,515.0138,67708,2021-08-04 04:00:00
734,517.13,524.89,2556687,525.41,514.02,522.5057,71577,2021-08-05 04:00:00
735,524,520.55,1919798,526.84,519.39,522.0436,57210,2021-08-06 04:00:00
736,521.1469,519.97,1367782,522.6699,517.99,519.81,48106,2021-08-09 04:00:00
737,520,515.84,1960544,520.79,512.965,515.9847,59839,2021-08-10 04:00:00
738,517,512.4,1673904,519.57,509.77,512.9736,55258,2021-08-11 04:00:00
739,511.86,510.72,1685120,513,507.2014,510.4896,47637,2021-08-12 04:00:00
740,512.64,515.92,2177736,521.44,511.51,517.1571,65533,2021-08-13 04:00:00
741,515.24,517.92,2033176,523.38,512.3,516.7897,57321,2021-08-16 04:00:00
742,515.465,518.91,2309803,520.79,514.2,517.8912,64120,2021-08-17 04:00:00
743,520,521.87,2582046,526.38,518.65,522.8904,73868,2021-08-18 04:00:00
744,522.74,543.71,7468042,548.39,521.87,541.1802,184224,2021-08-19 04:00:00
745,545.09,546.88,3776429,551.3883,539.1,547.0013,97400,2021-08-20 04:00:00
746,545.98,553.33,2602010,555.55,543.74,552.2405,77894,2021-08-23 04:00:00
747,551.484,553.41,2109525,555.3141,549.27,552.4183,69738,2021-08-24 04:00:00
748,550.16,547.58,2065621,552.84,545.45,548.0494,62882,2021-08-25 04:00:00
749,546.16,550.12,1595499,552.604,545.9,549.7421,54249,2021-08-26 04:00:00
750,551.6,558.92,3252595,564.17,549.25,558.6966,86538,2021-08-27 04:00:00
751,557.25,566.18,2434839,567.1648,556.45,564.6782,75174,2021-08-30 04:00:00
752,566.12,569.19,2411886,569.48,561.611,566.7351,69955,2021-08-31 04:00:00
753,569,582.07,5626214,591,569,581.9703,143636,2021-09-01 04:00:00
754,583.68,588.55,6159782,598.7567,583.68,592.4883,145947,2021-09-02 04:00:00
755,585.8,590.53,2684005,591.8783,583.14,588.6179,81545,2021-09-03 04:00:00
756,594.69,606.71,5900136,613.85,593.99,606.7961,152633,2021-09-07 04:00:00
757,603.84,606.05,5424503,615.6,595.71,605.3937,149729,2021-09-08 04:00:00
758,606.47,597.54,2954214,609.44,596.55,601.4763,78175,2021-09-09 04:00:00
759,598.16,598.72,3950764,609.45,593.67,600.8392,99234,2021-09-10 04:00:00
760,598.57,589.29,3116997,598.57,582.775,588.095,101477,2021-09-13 04:00:00
761,584.89,577.76,3527940,587.28,575.56,579.5217,107138,2021-09-14 04:00:00
762,578.17,582.87,2804288,584.62,575.37,580.7227,87942,2021-09-15 04:00:00
763,584.3,586.5,1832028,587.48,577.72,583.4838,60051,2021-09-16 04:00:00
764,587.85,589.35,4139145,590.28,580.8501,586.9623,78280,2021-09-17 04:00:00
765,586.79,575.43,3732227,591.53,568.08,576.7605,111116,2021-09-20 04:00:00
766,578.31,573.14,2250884,581.88,569.37,575.0733,82123,2021-09-21 04:00:00
767,579.69,590.65,4021845,595.65,579.69,591.1701,121713,2021-09-22 04:00:00
768,590.79,593.26,2523496,599.32,589.1301,594.5124,77454,2021-09-23 04:00:00
769,592.5,592.39,2126246,592.98,583.64,588.9109,71978,2021-09-24 04:00:00
770,587.95,592.64,2504738,593.58,576.93,586.6835,92797,2021-09-27 04:00:00
771,589,583.85,4431051,599.5353,580.16,588.2454,130669,2021-09-28 04:00:00
772,589.01,599.06,6221026,609.8799,588.01,602.7646,166341,2021-09-29 04:00:00
773,608.05,610.34,6717011,619,608.05,613.2484,179335,2021-09-30 04:00:00
774,604.24,613.15,4090847,614.99,597.505,606.8706,108608,2021-10-01 04:00:00
775,613.39,603.35,4995932,626.125,594.68,604.067,133849,2021-10-04 04:00:00
776,606.94,634.81,9514293,640.39,606.89,630.6554,195866,2021-10-05 04:00:00
777,628.18,639.1,4580434,639.8699,626.36,634.2759,111119,2021-10-06 04:00:00
778,642.2252,631.85,3556886,646.84,630.45,636.9168,104037,2021-10-07 04:00:00
779,634.165,632.66,3313314,643.8,630.86,636.8256,85963,2021-10-08 04:00:00
780,633.195,627.04,2862470,639.42,626.78,632.924,81636,2021-10-11 04:00:00
781,633.02,624.94,3177349,637.655,621.99,627.396,85445,2021-10-12 04:00:00
782,632.1791,629.76,2424638,632.1791,622.1,626.98,67683,2021-10-13 04:00:00
783,632.23,633.8,2672535,636.88,626.79,633.3077,79933,2021-10-14 04:00:00
784,638,628.29,4116874,639.42,625.16,631.0733,105464,2021-10-15 04:00:00
785,632.1,637.97,4669071,638.41,620.5901,632.2481,120266,2021-10-18 04:00:00
786,636.969,639,7608147,641,632.3,638.5975,187581,2021-10-19 04:00:00
787,625.5728,625.14,10621997,637.4,617.15,626.9502,223860,2021-10-20 04:00:00
788,628.89,653.16,8437070,654.01,628.65,646.3872,197277,2021-10-21 04:00:00
789,651.81,664.78,6186016,665.46,651.81,659.8642,153614,2021-10-22 04:00:00
790,663.74,671.66,3833526,675.88,657.07,667.5177,117527,2021-10-25 04:00:00
791,673.76,668.52,2904840,676.4899,662.77,669.1539,95472,2021-10-26 04:00:00
792,669,662.92,2276914,671.41,661.85,665.7112,76860,2021-10-27 04:00:00
793,670.9493,674.05,2809409,676.8,668.03,673.3802,83508,2021-10-28 04:00:00
794,673.06,690.31,3825279,690.9699,671.24,684.3728,111320,2021-10-29 04:00:00
795,689.06,681.17,3110911,689.97,676.54,682.3217,106544,2021-11-01 04:00:00
796,683.11,677.72,3888597,687.68,673.82,679.8913,110179,2021-11-02 04:00:00
797,677.27,688.29,2334852,689.39,677.27,684.8633,77913,2021-11-03 04:00:00
798,685.89,668.4,4865023,685.94,665.5,671.4656,152711,2021-11-04 04:00:00
799,663.97,645.72,5283488,665.64,645.01,652.9705,158087,2021-11-05 04:00:00
800,650.29,651.45,2887523,656,643.79,650.6352,101922,2021-11-08 05:00:00
801,653.7,655.99,2415630,660.5,650.52,655.2477,89504,2021-11-09 05:00:00
802,653.01,646.91,2403885,660.3306,642.11,649.3321,86338,2021-11-10 05:00:00
