MATICUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
389,0.7528,0.7397,17912296.9706552,0.76765,0.731,0.7516,44485,2022-09-25
390,0.7396,0.7559,32950852.9189505,0.762,0.7262,0.7457,55968,2022-09-26
391,0.756,0.7389,41133043.1353711,0.7937,0.7262,0.764,68212,2022-09-27
392,0.739,0.7474,24974059.6490248,0.7544,0.7121,0.735,59857,2022-09-28
393,0.7473,0.763,18831181.3407029,0.7648,0.7314,0.7481,52683,2022-09-29
394,0.7634,0.7779,24305021.0572955,0.7898,0.7608,0.7754,66017,2022-09-30
395,0.7781,0.7669,7730958.77835758,0.7814,0.7596,0.7708,39138,2022-10-01
396,0.7669,0.7633,10186206.0747208,0.78437,0.7612,0.7722,35766,2022-10-02
397,0.7633,0.8005,28754750.8794084,0.808,0.7548,0.787,58636,2022-10-03
398,0.8002,0.8357,42292989.0091006,0.84381,0.8001,0.8274,69462,2022-10-04
399,0.8356,0.8517,28819676.5640381,0.8611,0.82071,0.8401,58730,2022-10-05
400,0.8515,0.8338,31393824.1065081,0.8598,0.8304,0.8443,62153,2022-10-06
401,0.8338,0.8315,20020768.7157345,0.8484,0.8184,0.8363,60970,2022-10-07
402,0.8314,0.8148,8173765.72868936,0.8348,0.8081,0.8206,40166,2022-10-08
403,0.8146,0.8257,7158746.6446546,0.8304,0.8079,0.8203,27770,2022-10-09
404,0.8257,0.8137,22618009.927282,0.8431,0.8117,0.8311,50308,2022-10-10
405,0.8137,0.7908,18264985.7424432,0.8137,0.7844,0.799,52041,2022-10-11
406,0.7905,0.783,11582316.1975972,0.8019,0.7822,0.7919,39177,2022-10-12
407,0.7828,0.7756,49625104.4736814,0.78767,0.7159,0.7511,84626,2022-10-13
408,0.7755,0.793,24118990.8732167,0.82313,0.7755,0.8018,60218,2022-10-14
409,0.7931,0.7894,11029719.7808001,0.8101,0.7859,0.7973,42943,2022-10-15
410,0.7891,0.7987,8366816.95665609,0.81019,0.78783,0.799,29643,2022-10-16
411,0.7985,0.8484,24541153.1585022,0.8505,0.796,0.8309,58176,2022-10-17
412,0.8484,0.8642,39764749.3753349,0.88,0.8355,0.8588,83784,2022-10-18
413,0.864,0.8445,31830784.3844314,0.8815,0.8397,0.8644,65466,2022-10-19
414,0.8444,0.8095,33359293.7716513,0.8483,0.8054,0.83,65703,2022-10-20
415,0.8093,0.832,30914384.9084189,0.834,0.7751,0.8041,63461,2022-10-21
416,0.8321,0.8319,11062475.8896433,0.84091,0.8131,0.8291,44167,2022-10-22
