PLTR,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
346,13.1,13.26,40617850,13.795,12.98,13.4258,153760,2022-02-14 05:00:00
347,13.52,14.17,48523679,14.185,13.41,13.8912,179962,2022-02-15 05:00:00
348,13.91,13.97,58624449,14.26,13.66,13.9752,210670,2022-02-16 05:00:00
349,12.39,11.77,151385399,12.7,11.7,12.2142,559541,2022-02-17 05:00:00
350,11.92,11.02,137808130,12.01,10.57,11.0654,519752,2022-02-18 05:00:00
351,10.7,10.48,104501495,11.185,10.3,10.5952,354343,2022-02-22 05:00:00
352,10.83,10.43,93868953,11.26,10.4,10.7232,313237,2022-02-23 05:00:00
353,9.75,11.83,118793047,11.87,9.74,11.0382,406491,2022-02-24 05:00:00
354,11.59,11.47,75433711,11.89,11,11.3327,274471,2022-02-25 05:00:00
355,11.96,11.85,75390479,12.18,11.39,11.7677,252503,2022-02-28 05:00:00
356,11.99,12.18,64864923,12.52,11.71,12.1949,227797,2022-03-01 05:00:00
357,12.21,12.06,56698280,12.21,11.42,11.8121,192983,2022-03-02 05:00:00
358,12.01,11.34,46171972,12.055,11.235,11.4997,183147,2022-03-03 05:00:00
359,11.7,10.96,43631139,11.77,10.74,11.0216,178913,2022-03-04 05:00:00
360,11.43,11.11,63070581,11.75,11.1,11.3828,244176,2022-03-07 05:00:00
361,10.93,11.04,49279564,11.39,10.719,11.0591,205927,2022-03-08 05:00:00
362,11.41,11.65,43591369,12.02,11.27,11.718,176848,2022-03-09 05:00:00
363,11.38,11.87,52295390,11.97,11.32,11.7489,186459,2022-03-10 05:00:00
364,11.86,11.39,37817372,12.005,11.37,11.5896,161608,2022-03-11 05:00:00
365,11.17,10.5,49762551,11.41,10.41,10.7658,198288,2022-03-14 04:00:00
366,10.47,10.77,40451175,10.85,10.27,10.6083,160452,2022-03-15 04:00:00
367,10.95,11.79,62746614,11.82,10.9399,11.5241,216176,2022-03-16 04:00:00
368,11.72,12.32,43948861,12.37,11.66,12.1865,154107,2022-03-17 04:00:00
369,12.28,12.82,56325472,13.02,12.215,12.7619,169468,2022-03-18 04:00:00
370,12.72,12.59,39410854,13.05,12.42,12.6613,126394,2022-03-21 04:00:00
371,12.52,13.27,46210656,13.48,12.52,13.1889,156297,2022-03-22 04:00:00
372,13.16,13.18,33699354,13.55,13.02,13.2704,132081,2022-03-23 04:00:00
373,13.25,13.39,29535255,13.42,12.83,13.2048,102273,2022-03-24 04:00:00
374,13.36,12.97,24796929,13.395,12.71,13.0009,107791,2022-03-25 04:00:00
375,13.01,13.42,27151982,13.44,12.855,13.1892,106071,2022-03-28 04:00:00
376,13.65,14.2,46433721,14.28,13.35,13.9204,165328,2022-03-29 04:00:00
377,14.04,13.88,32163994,14.36,13.74,14.0294,123835,2022-03-30 04:00:00
