PYPL,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
221,120,121.3,8969808,121.33,118.93,119.4714,77958,2019-07-24 04:00:00
222,116.75,115.12,19417195,117.55,113.23,115.5575,166259,2019-07-25 04:00:00
223,115.71,115.49,7995933,116.35,114.34,115.1961,66166,2019-07-26 04:00:00
224,113.5,111.45,13820205,114.28,111.22,112.0449,113147,2019-07-29 04:00:00
225,110.79,112.04,8456015,112.29,108.77,111.4936,76026,2019-07-30 04:00:00
226,112.2,110.4,10096159,112.3,109.43,110.8089,83092,2019-07-31 04:00:00
227,110.45,110.8,9436130,112.4496,109.665,110.9991,85591,2019-08-01 04:00:00
228,109.47,107.09,10466910,109.65,105.83,106.9876,98816,2019-08-02 04:00:00
229,103.76,103.6,11745393,105.39,102.41,104.0528,100343,2019-08-05 04:00:00
230,105,105.03,7740468,106,104.48,105.0233,66718,2019-08-06 04:00:00
231,104.06,106.63,7622015,107.16,103.3,105.8432,79706,2019-08-07 04:00:00
232,107.35,106.79,7814988,108.14,106.08,107.0464,74265,2019-08-08 04:00:00
233,106.4,104.82,7777343,106.52,104.45,105.2253,60597,2019-08-09 04:00:00
234,104.01,102.72,7897875,104.3804,102.21,103.0625,74412,2019-08-12 04:00:00
235,103.39,106.04,9909591,106.7,102.6801,105.7117,89226,2019-08-13 04:00:00
236,104.17,103.27,9538834,105.13,102.44,103.4364,85677,2019-08-14 04:00:00
237,103.9,104.95,7049233,105.79,103.13,104.858,67260,2019-08-15 04:00:00
238,106.08,106.16,5989174,106.61,105.55,106.0788,52901,2019-08-16 04:00:00
239,108,107.67,5721282,108.44,106.83,107.4888,58967,2019-08-19 04:00:00
240,107.91,107.37,4359576,108.58,107.02,107.7445,39980,2019-08-20 04:00:00
241,108.54,109.82,5416562,110.02,108.3975,109.5526,50964,2019-08-21 04:00:00
242,110.08,108.77,3864359,110.29,107.65,108.7603,37347,2019-08-22 04:00:00
243,108.93,106.04,7457331,110.14,105.51,107.0403,66728,2019-08-23 04:00:00
244,107.11,107.66,3669041,107.83,106.29,107.2239,37207,2019-08-26 04:00:00
245,108.39,107.45,4938397,108.72,106.95,107.5571,36677,2019-08-27 04:00:00
246,106.71,107.47,3256235,107.63,105.35,107.0303,35263,2019-08-28 04:00:00
247,108.96,109.21,3931033,109.76,108.78,109.3006,38850,2019-08-29 04:00:00
248,110.13,109.05,3958699,110.97,108.54,109.2216,33026,2019-08-30 04:00:00
249,107.92,106.75,4038074,108.86,106.46,107.1873,40565,2019-09-03 04:00:00
250,107.75,108.73,3691497,109.235,107.29,108.6287,33881,2019-09-04 04:00:00
