AMZN,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
233,91.4475,90.379,57595400,91.5546,90.111,90.6641,88485,2019-08-09 04:00:00
234,89.7995,89.246,58109960,90.049,88.85,89.4412,83981,2019-08-12 04:00:00
235,89.15,91.217,81500420,91.5871,89,90.979,103258,2019-08-13 04:00:00
236,89.6505,88.148,97872980,89.7826,87.8608,88.5727,146910,2019-08-14 04:00:00
237,89.0995,88.806,76187760,89.4,88.098,88.7545,109842,2019-08-15 04:00:00
238,89.6445,89.6285,61084800,90.1454,89.2275,89.7312,79667,2019-08-16 04:00:00
239,90.904,90.806,56406060,91.3,90.6305,90.9937,75822,2019-08-19 04:00:00
240,90.725,90.069,38656700,90.841,89.994,90.3947,55435,2019-08-20 04:00:00
241,90.9695,91.177,40784620,91.4789,90.75,91.1441,58096,2019-08-21 04:00:00
242,91.4,90.28,53077760,91.4706,90.005,90.6335,64929,2019-08-22 04:00:00
243,89.6515,87.481,105557960,90.2448,87.2615,88.3176,155228,2019-08-23 04:00:00
244,88.3455,88.4435,61676400,88.5,87.1755,88.0108,80838,2019-08-26 04:00:00
245,88.7865,88.0915,60544900,88.97,87.334,88.0975,74884,2019-08-27 04:00:00
246,87.75,88.2125,48437860,88.393,87.2025,88.0055,63007,2019-08-28 04:00:00
247,89.15,89.32,60360240,89.9275,88.8625,89.4604,74348,2019-08-29 04:00:00
248,89.8745,88.8145,61282940,89.987,88.2285,88.8589,74286,2019-08-30 04:00:00
249,88.5,89.492,70937180,90.04,88.4,89.5232,89055,2019-09-03 04:00:00
250,90.25,90.031,46524560,90.3815,89.8115,90.1058,64554,2019-09-04 04:00:00
251,91.0975,92.036,66503780,92.1,90.7788,91.6301,92131,2019-09-05 04:00:00
252,91.911,91.6755,49938660,92.0325,91.32,91.7292,67779,2019-09-06 04:00:00
253,92.05,91.5675,59990300,92.5,91.2305,91.8384,86633,2019-09-09 04:00:00
254,91.1375,91.0275,52277580,91.2905,90.2668,90.8141,68259,2019-09-10 04:00:00
255,90.607,91.1495,48655340,91.671,90.454,91.1336,81884,2019-09-11 04:00:00
256,91.8815,92.1775,56470100,92.683,91.714,92.2739,92369,2019-09-12 04:00:00
257,92.1005,91.967,39426340,92.3061,91.7585,91.9927,62985,2019-09-13 04:00:00
258,91.201,90.392,73509460,91.2847,90.01,90.4048,118155,2019-09-16 04:00:00
259,90.354,91.1275,40661160,91.1995,90.205,90.822,68776,2019-09-17 04:00:00
260,90.852,90.873,50720240,91.103,89.775,90.5073,85165,2019-09-18 04:00:00
261,91.051,91.075,41484100,91.6285,90.895,91.2768,61100,2019-09-19 04:00:00
262,91.0855,89.708,111116780,91.5315,89.046,90.074,120308,2019-09-20 04:00:00
263,88.85,89.265,62782840,89.635,88.366,89.0232,93615,2019-09-23 04:00:00
264,89.5303,87.0805,92758020,89.7853,86.7773,87.8226,154522,2019-09-24 04:00:00
265,87.368,88.4165,70621960,88.65,86.15,87.5005,121310,2019-09-25 04:00:00
266,88.1395,86.992,71439040,88.1685,86.575,87.0449,111266,2019-09-26 04:00:00
267,87.4,86.2725,78960580,87.456,85.691,86.429,133051,2019-09-27 04:00:00
268,86.3495,86.7955,55215360,86.873,85.461,86.4541,86774,2019-09-30 04:00:00
269,87.3,86.7825,63409200,87.78,86.4205,87.0306,100089,2019-10-01 04:00:00
270,86.387,85.6615,66730820,86.4445,85.25,85.6894,119890,2019-10-02 04:00:00
271,85.65,86.221,72479500,86.25,84.253,85.5175,130538,2019-10-03 04:00:00
272,86.301,86.9825,49785540,87.0288,85.9615,86.615,84798,2019-10-04 04:00:00
273,86.5815,86.633,43751960,87.3915,86.185,86.7949,69190,2019-10-07 04:00:00
274,86.1245,85.2755,52536800,86.35,85.25,85.8049,99582,2019-10-08 04:00:00
275,85.9805,86.0995,41786700,86.4975,85.718,86.1454,68685,2019-10-09 04:00:00
276,86.262,86.013,54430620,86.9145,85.6875,86.2547,79256,2019-10-10 04:00:00
277,87.146,86.596,65590680,87.2725,86.493,86.9936,98401,2019-10-11 04:00:00
278,86.4455,86.8215,38577960,87.0944,86.1,86.589,58921,2019-10-14 04:00:00
279,87.107,88.369,62584880,88.8225,87.031,87.992,94703,2019-10-15 04:00:00
280,88.6665,88.8715,56081360,89.312,88.5261,88.9439,86957,2019-10-16 04:00:00
281,89.8245,89.374,54275460,89.9425,89.101,89.5375,76745,2019-10-17 04:00:00
282,89.39,87.8755,67321820,89.699,87.46,88.3889,82365,2019-10-18 04:00:00
283,88.483,89.283,44498040,89.294,88.25,88.8936,58401,2019-10-21 04:00:00
284,89.4075,88.2865,44688500,89.489,88.1,88.5945,66614,2019-10-22 04:00:00
285,88.065,88.1085,43807600,88.5025,87.1,87.9083,68908,2019-10-23 04:00:00
286,88.5545,89.039,104086980,89.4169,88.0135,86.4421,174749,2019-10-24 04:00:00
287,84.8775,88.0665,192528040,88.2105,84.75,86.6891,284617,2019-10-25 04:00:00
288,87.403,88.854,74177020,88.935,87.125,88.3368,95761,2019-10-28 04:00:00
289,88.7405,88.1355,45537080,88.85,87.7905,88.2394,61661,2019-10-29 04:00:00
290,88.012,88.9995,48988100,89.119,87.9558,88.6759,64129,2019-10-30 04:00:00
291,88.7995,88.833,55623700,89.6,88.5738,88.9149,66851,2019-10-31 04:00:00
292,89.4005,89.572,55807080,89.8723,89.2605,89.5338,67012,2019-11-01 04:00:00
293,90.0505,90.233,55418440,90.753,90.0505,90.4478,73783,2019-11-04 05:00:00
294,90.458,90.0855,37626860,90.5125,89.7,90.1548,54387,2019-11-05 05:00:00
295,90.05,89.7885,40595660,90.125,89.429,89.7457,51905,2019-11-06 05:00:00
296,90.188,89.41,53021720,90.295,89.174,89.8702,66047,2019-11-07 05:00:00
297,89.3945,89.294,42465960,89.494,88.702,89.1018,58211,2019-11-08 05:00:00
298,88.9,88.5825,38956200,89,88.3565,88.6027,56868,2019-11-11 05:00:00
299,88.733,88.9,40778480,89.311,88.5955,88.9452,53676,2019-11-12 05:00:00
300,88.6695,87.6555,58537840,88.75,87.3661,87.9447,86180,2019-11-13 05:00:00
301,87.5715,87.73,45368340,88.3297,87.478,87.8323,59272,2019-11-14 05:00:00
302,88.0025,86.9745,78622820,88.084,86.643,87.2681,97701,2019-11-15 05:00:00
303,86.915,87.6265,56838140,87.685,86.1355,87.1292,77220,2019-11-18 05:00:00
304,87.8495,87.6395,45490700,88.034,87.1515,87.6626,58406,2019-11-19 05:00:00
305,87.457,87.2765,55875180,88.1262,86.706,87.3583,70414,2019-11-20 05:00:00
306,87.15,86.7355,53258760,87.3435,86.518,86.8208,70476,2019-11-21 05:00:00
307,86.951,87.286,48581620,87.3215,86.55,87.0138,59622,2019-11-22 05:00:00
