SAM,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
652,1276.05,1253.1,92533,1283.185,1234.17,1256.9455,6973,2021-04-09 04:00:00
653,1244.36,1259.88,76348,1262.46,1225.01,1244.7443,4632,2021-04-12 04:00:00
654,1264.99,1267.02,84108,1277.38,1260.09,1268.6203,4514,2021-04-13 04:00:00
655,1270,1252.55,58907,1270,1241.19,1254.5963,3512,2021-04-14 04:00:00
656,1260,1290.89,82884,1298.62,1253.92,1277.2444,4504,2021-04-15 04:00:00
657,1301.19,1294.93,93605,1306.205,1283.33,1293.1375,4055,2021-04-16 04:00:00
658,1295.6,1287.69,98979,1308.03,1268.58,1285.7477,5543,2021-04-19 04:00:00
659,1292.62,1306.45,127636,1315.38,1261.31,1292.0421,5578,2021-04-20 04:00:00
660,1318.17,1255.22,175702,1319.34,1228.935,1275.0989,8496,2021-04-21 04:00:00
661,1265,1246,134347,1283.175,1222.05,1254.6658,9179,2021-04-22 04:00:00
662,1338,1283.9,284479,1349.98,1246,1278.8262,11863,2021-04-23 04:00:00
663,1266.67,1233.99,173608,1273.32,1213.87,1234.2332,9076,2021-04-26 04:00:00
664,1219.86,1215.42,201190,1231.66,1185.125,1207.9411,9935,2021-04-27 04:00:00
665,1225.86,1210.23,110236,1232.98,1198.29,1216.0945,4793,2021-04-28 04:00:00
666,1210.88,1210.19,85382,1218.4677,1187.66,1203.8061,4490,2021-04-29 04:00:00
667,1203.44,1216.49,69840,1219.36,1198.15,1212.2097,3283,2021-04-30 04:00:00
668,1221,1191.08,80089,1231.8498,1189.72,1207.0167,4207,2021-05-03 04:00:00
669,1182.34,1131.14,255631,1182.34,1100.385,1132.5632,9745,2021-05-04 04:00:00
670,1136,1099.2,171198,1139.22,1098.66,1110.7263,6641,2021-05-05 04:00:00
671,1112.46,1109.74,137821,1118.67,1084.03,1103.1213,5753,2021-05-06 04:00:00
672,1115.51,1115.15,121911,1133.22,1104.065,1117.9238,5274,2021-05-07 04:00:00
673,1113,1136.88,139604,1144.62,1098.43,1129.8132,5462,2021-05-10 04:00:00
674,1109.73,1083.9,202624,1124.24,1078.25,1097.2486,6910,2021-05-11 04:00:00
675,1087.42,1054.22,256912,1120.23,1042.26,1067.7149,9576,2021-05-12 04:00:00
676,1062.36,1067.16,159954,1085.4955,1042.23,1067.9004,7241,2021-05-13 04:00:00
677,1077.24,1108.42,108487,1112.115,1074.0312,1102.3731,5918,2021-05-14 04:00:00
678,1110,1121.03,118084,1128.46,1102.24,1118.007,6326,2021-05-17 04:00:00
679,1121,1061.71,230502,1127.025,1057.47,1074.9295,11923,2021-05-18 04:00:00
680,1044.77,1049,237481,1062.855,1031.215,1046.2167,8305,2021-05-19 04:00:00
681,1058.16,1047.85,169095,1080.71,1046.88,1058.6676,6938,2021-05-20 04:00:00
682,1062.93,1045.39,188196,1067,1041.12,1048.8818,7553,2021-05-21 04:00:00
683,1048.97,1052.36,199467,1066.12,1046.2,1055.5228,7952,2021-05-24 04:00:00
684,1079.17,1096.7,377432,1107.65,1055.45,1086.517,11928,2021-05-25 04:00:00
685,1096.7,1105.94,255258,1117.02,1081.28,1102.1632,10261,2021-05-26 04:00:00
686,1110.76,1030.45,836487,1133.8,1030.45,1054.1926,17220,2021-05-27 04:00:00
687,1044.24,1058.16,316046,1072.535,1039.83,1055.9595,12168,2021-05-28 04:00:00
688,1051.94,1063.01,262593,1068.4707,1032.62,1052.3825,10092,2021-06-01 04:00:00
689,1055.17,1066.9,261615,1074.48,1038.27,1057.7237,8119,2021-06-02 04:00:00
690,1054.54,1099,236744,1104.09,1047.97,1086.5739,9020,2021-06-03 04:00:00
691,1107.21,1106.29,252242,1118.96,1095.75,1107.4884,6389,2021-06-04 04:00:00
692,1100.21,1089.89,179545,1104.09,1063.03,1082.1267,7339,2021-06-07 04:00:00
693,1089.89,1092.02,177785,1103.29,1081.4445,1093.2589,7658,2021-06-08 04:00:00
694,1097.64,1038.51,173684,1097.64,1036.22,1052.7072,8474,2021-06-09 04:00:00
695,1040.56,1028.49,134940,1052.78,1025.64,1035.4269,6481,2021-06-10 04:00:00
696,1029.03,1028.96,159881,1044.74,1021.825,1032.1651,6935,2021-06-11 04:00:00
697,1029.53,1021.88,151969,1037.4044,1017.16,1023.9374,6068,2021-06-14 04:00:00
698,1023.44,1007.78,195501,1034.09,1002.195,1010.8644,6529,2021-06-15 04:00:00
699,1000,995,273309,1018,992.29,1003.6758,9342,2021-06-16 04:00:00
700,985.12,970.14,217736,997.705,966.26,979.9183,8275,2021-06-17 04:00:00
701,967.4,970.08,255162,989.605,963.71,973.911,6512,2021-06-18 04:00:00
702,985.49,986.08,195318,998.025,977.32,986.6328,7919,2021-06-21 04:00:00
703,991.86,1004.24,134958,1008.27,985.355,998.6885,5710,2021-06-22 04:00:00
704,1003.52,1010.02,132259,1017.35,996.07,1008.3258,4619,2021-06-23 04:00:00
705,1014.93,1019.62,127589,1020,1006.09,1015.6626,4852,2021-06-24 04:00:00
706,1027.98,1035.22,181111,1038.29,1013.5,1028.4927,6660,2021-06-25 04:00:00
707,1037.39,1037.77,124611,1059.035,1027.4001,1041.5835,6397,2021-06-28 04:00:00
708,1037.5,1034.57,110198,1039.71,1017.79,1029.6059,4690,2021-06-29 04:00:00
709,1034.54,1020.8,186873,1048.99,1015.13,1023.4236,6158,2021-06-30 04:00:00
710,1012.63,966.48,287320,1017.32,963.16,979.3617,15007,2021-07-01 04:00:00
711,974,953.85,314902,974.02,935.03,949.8703,12244,2021-07-02 04:00:00
712,965.25,927.92,232609,965.25,925,933.6564,10820,2021-07-06 04:00:00
713,958,959,397003,972.79,939.97,955.7668,14458,2021-07-07 04:00:00
714,939.97,964.73,237498,988.05,934.4248,963.9781,9448,2021-07-08 04:00:00
715,958.71,973.58,227230,975.49,950.8995,965.1495,7737,2021-07-09 04:00:00
716,969.56,979.41,313030,990.4,963.32,978.7698,9214,2021-07-12 04:00:00
717,975.91,940.7,240439,980.35,936.84,947.5855,10054,2021-07-13 04:00:00
718,946.68,919.55,362859,946.68,902.88,920.5782,13533,2021-07-14 04:00:00
719,918.27,930.86,253256,957.925,913.7015,933.5627,9164,2021-07-15 04:00:00
720,935,925.09,208840,954.58,922.25,933.3645,8356,2021-07-16 04:00:00
721,910.4,951.5,289458,955,902.5,941.6464,10819,2021-07-19 04:00:00
