XRPUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
249,0.58131,0.5666,15068138.4205537,0.5834,0.55737,0.5696,19617,2022-05-08
250,0.5668,0.48842,57897119.352656,0.57925,0.47121,0.5186,39630,2022-05-09
251,0.48725,0.51278,34756239.8738044,0.53725,0.4724,0.5101,39236,2022-05-10
252,0.51372,0.41735,142884248.820661,0.52403,0.3642,0.4392,83970,2022-05-11
253,0.41764,0.38587,116801520.056455,0.42998,0.33137,0.3731,71752,2022-05-12
254,0.38451,0.42281,48135601.9708403,0.46701,0.38082,0.4333,39747,2022-05-13
255,0.42297,0.42618,27816966.3346645,0.441,0.39524,0.4185,30381,2022-05-14
256,0.42562,0.44774,17574703.3757916,0.45009,0.41472,0.4306,21937,2022-05-15
257,0.44779,0.42301,25181104.1186302,0.44789,0.408,0.4248,24437,2022-05-16
258,0.42302,0.43736,13493318.4449269,0.43989,0.41679,0.4298,17381,2022-05-17
259,0.4375,0.40476,16056139.094146,0.44244,0.40302,0.4168,17700,2022-05-18
260,0.40482,0.4205,17789335.0068541,0.42411,0.39033,0.4075,17118,2022-05-19
261,0.42045,0.4099,22947108.726883,0.44084,0.40144,0.4234,19344,2022-05-20
262,0.4099,0.4142,15066333.8786426,0.41839,0.40266,0.4092,11730,2022-05-21
263,0.41395,0.42204,6753920.11841638,0.42534,0.40967,0.4174,10459,2022-05-22
264,0.42069,0.42021,359.7477819,0.42069,0.42021,0.4203,2,2022-05-23
265,0.40479,0.4083,14808567.5952107,0.41359,0.3902,0.4032,14484,2022-05-24
266,0.4083,0.4059,15680237.1228617,0.414,0.39451,0.4041,13533,2022-05-25
267,0.40576,0.39188,28722439.0907207,0.41071,0.37546,0.389,20115,2022-05-26
268,0.39181,0.38145,19591407.3878552,0.40325,0.37597,0.3907,20533,2022-05-27
269,0.38206,0.38649,9340941.97900369,0.38871,0.38028,0.3848,10622,2022-05-28
270,0.38629,0.38911,9655336.26707872,0.39053,0.37923,0.3856,10472,2022-05-29
271,0.38912,0.41867,17563453.969579,0.41974,0.38664,0.4029,15155,2022-05-30
272,0.4186,0.42128,16796223.7391711,0.43441,0.40632,0.4181,17125,2022-05-31
273,0.42128,0.3982,17420787.5621845,0.42651,0.3885,0.4076,16031,2022-06-01
274,0.3982,0.40545,14152563.0288026,0.40722,0.39042,0.397,12490,2022-06-02
275,0.40558,0.39045,16611322.1333173,0.41094,0.38368,0.3954,12784,2022-06-03
276,0.39047,0.39239,7968909.24237024,0.39482,0.38443,0.3903,8647,2022-06-04
277,0.39239,0.39552,9374297.95697952,0.39952,0.38938,0.3938,9210,2022-06-05
278,0.39534,0.4028,15768301.7315132,0.40932,0.39403,0.4027,11754,2022-06-06
279,0.40276,0.40743,21371391.4490058,0.41775,0.38434,0.4,17791,2022-06-07
280,0.40787,0.40016,13475912.043283,0.41048,0.3948,0.4029,11158,2022-06-08
281,0.40041,0.40023,6250461.13006074,0.40432,0.39606,0.4003,7839,2022-06-09
282,0.40019,0.38127,20784837.6797559,0.41197,0.37508,0.3908,15649,2022-06-10
283,0.38156,0.35997,22244594.2221219,0.38865,0.35569,0.3706,16555,2022-06-11
284,0.36013,0.34272,27432588.6987784,0.36567,0.33947,0.3513,22117,2022-06-12
285,0.34379,0.31138,71842008.292481,0.35097,0.30031,0.3186,39904,2022-06-13
286,0.31141,0.3215,33017391.5271386,0.32671,0.29338,0.3119,24710,2022-06-14
287,0.32131,0.3437,39518257.1798709,0.347,0.29646,0.3137,28159,2022-06-15
288,0.34385,0.31307,18968111.9017817,0.34766,0.30694,0.3216,18030,2022-06-16
289,0.31318,0.32044,21487640.4304742,0.33991,0.31029,0.3255,19510,2022-06-17
290,0.32047,0.30742,26366536.6218571,0.32575,0.287,0.3046,22840,2022-06-18
291,0.3075,0.32586,12244050.6071255,0.33299,0.29802,0.3156,15687,2022-06-19
292,0.32581,0.32253,19145548.0883325,0.32879,0.31346,0.3225,15640,2022-06-20
293,0.32235,0.3287,14109851.5441173,0.3372,0.31821,0.329,12116,2022-06-21
294,0.32875,0.32139,8106371.42438181,0.32921,0.31853,0.323,10992,2022-06-22
295,0.32216,0.3351,10570213.5080842,0.33649,0.32074,0.328,8749,2022-06-23
296,0.33537,0.36674,43919795.766953,0.38662,0.33453,0.3664,27418,2022-06-24
