GOOG,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
710,124.8498,126.3685,17124600,126.4625,124.8498,125.8862,44518,2021-07-01 04:00:00
711,126.8395,128.719,21165120,128.848,126.769,128.2879,48741,2021-07-02 04:00:00
712,129.4495,129.771,21350340,129.8845,128.409,129.3455,53019,2021-07-06 04:00:00
713,130.341,130.0775,16683720,130.6399,129.76,130.117,42878,2021-07-07 04:00:00
714,128.25,129.177,19779500,130.0325,128.04,128.9856,53467,2021-07-08 04:00:00
715,128.9445,129.5745,15109320,129.8495,128.9435,129.5074,38833,2021-07-09 04:00:00
716,129.8335,130.564,16950920,130.77,129.6,130.3042,39790,2021-07-12 04:00:00
717,130.8815,130.9945,16617960,132.042,130.637,131.2332,45092,2021-07-13 04:00:00
718,131.9015,132.0825,17918540,132.996,131.898,132.3087,46977,2021-07-14 04:00:00
719,132.5,131.2665,16586320,132.595,130.598,131.2892,43751,2021-07-15 04:00:00
720,131.641,131.8455,14861180,132.183,130.8215,131.6885,36886,2021-07-16 04:00:00
721,131.1555,129.254,25709320,131.247,128.537,129.3017,65098,2021-07-19 04:00:00
722,130.004,131.1015,19083120,132.0014,129.1884,130.932,47251,2021-07-20 04:00:00
723,130.787,132.6005,14741640,132.6172,130.6015,131.8206,40754,2021-07-21 04:00:00
724,132.65,133.3285,13608140,133.5045,132.4,133.1895,33565,2021-07-22 04:00:00
725,135.26,137.816,26377740,138.8085,134.7005,137.1639,65484,2021-07-23 04:00:00
726,138.25,139.6445,23052460,139.713,137.651,138.7745,55767,2021-07-26 04:00:00
727,140.011,136.7965,42163060,140.011,135.1,137.3276,109232,2021-07-27 04:00:00
728,138.562,136.3815,54688340,139.676,136.35,137.6504,108424,2021-07-28 04:00:00
729,136.3806,136.5405,19283340,137.1515,136.138,136.6472,56815,2021-07-29 04:00:00
730,135.511,135.221,23954500,135.7714,134.8142,135.2341,55988,2021-07-30 04:00:00
731,135.4845,135.9895,20140040,136.0205,134.6695,135.5931,45445,2021-08-02 04:00:00
732,136,136.28,19064000,136.3355,134.1835,135.5466,56382,2021-08-03 04:00:00
733,136.2495,136.0285,16527140,136.538,135.415,136.0063,39905,2021-08-04 04:00:00
734,136.0285,136.94,11871780,136.95,135.6,136.5778,34161,2021-08-05 04:00:00
735,136.295,137.036,13565020,137.08,136.0465,136.7343,38016,2021-08-06 04:00:00
736,136.949,138.002,12379560,138.3215,136.4288,137.5282,39441,2021-08-09 04:00:00
737,138.0795,138.0965,16039080,138.5515,137.2265,138.0538,41478,2021-08-10 04:00:00
738,138.283,137.6895,15044660,138.8478,137.35,137.8326,39170,2021-08-11 04:00:00
739,137.713,138.3895,14649400,138.418,136.779,138.0151,33296,2021-08-12 04:00:00
740,138.3575,138.406,12580580,138.674,138.005,138.319,35742,2021-08-13 04:00:00
741,138,138.916,18050840,138.9905,136.1658,137.9205,48824,2021-08-16 04:00:00
742,138.191,137.3005,21274020,138.7185,136.7875,137.6772,49005,2021-08-17 04:00:00
743,137.1155,136.57,14934460,138.294,136.421,137.393,40779,2021-08-18 04:00:00
744,135.4675,136.9135,18295920,137.452,135.356,136.6538,47158,2021-08-19 04:00:00
745,137.083,138.437,15566740,138.6145,136.467,138.0594,41618,2021-08-20 04:00:00
746,138.9985,141.0995,21089680,142.177,138.7479,141.0588,59308,2021-08-23 04:00:00
747,141.5435,142.3985,15126260,143.0075,141.3535,142.383,47338,2021-08-24 04:00:00
748,142.883,142.95,12843060,143.313,142.4395,142.8429,37483,2021-08-25 04:00:00
749,142.6185,142.123,14922000,143.1348,142.0915,142.5739,46821,2021-08-26 04:00:00
750,142.1125,144.5505,24568240,145.011,142.02,144.1249,63778,2021-08-27 04:00:00
751,144.7045,145.4695,16915900,146.4895,144.6,145.604,54185,2021-08-30 04:00:00
752,145.8845,145.462,26756420,146.112,145,145.6061,55140,2021-08-31 04:00:00
753,145.65,145.842,15824680,146.8205,145.6145,146.1631,50922,2021-09-01 04:00:00
754,145.9495,144.219,21855800,146.325,144.1065,144.9478,64199,2021-09-02 04:00:00
755,144.146,144.775,19110480,145.377,143.505,144.7677,51104,2021-09-03 04:00:00
756,144.7495,145.519,15331740,145.824,144.541,145.3797,51278,2021-09-07 04:00:00
757,145.3935,144.8835,14871660,145.551,144.2,144.8741,49817,2021-09-08 04:00:00
758,144.8835,144.9135,14798560,145.6695,144.434,145.0457,43761,2021-09-09 04:00:00
759,145.4435,141.921,32896620,146.019,141.7415,143.1426,83184,2021-09-10 04:00:00
