PEP,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
635,133.08,134.01,5544740,134.58,132.75,133.8094,69651,2021-03-16 04:00:00
636,134.36,133.62,6199529,134.56,133.38,133.8886,76656,2021-03-17 04:00:00
637,132.36,132.53,6476677,133.08,131.41,132.3376,88123,2021-03-18 04:00:00
638,132.31,134.5,16114414,135.01,132.18,134.0355,93535,2021-03-19 04:00:00
639,135.63,137.8,7813395,138.2,135.09,137.602,93820,2021-03-22 04:00:00
640,138.45,139.46,6978365,140.17,138.18,139.4756,87585,2021-03-23 04:00:00
641,139.01,138.81,5082339,140.11,138.78,139.2653,75554,2021-03-24 04:00:00
642,139.18,139.63,5827777,140.25,138.34,139.3818,85718,2021-03-25 04:00:00
643,139.62,142.7,6785599,143,139.13,141.5934,91125,2021-03-26 04:00:00
644,142.87,144.81,6105770,144.96,142.415,144.1236,77680,2021-03-29 04:00:00
645,143.68,142.54,4372866,144.75,142.12,142.8388,61443,2021-03-30 04:00:00
646,143.32,141.45,6257943,143.33,141.17,141.9633,64802,2021-03-31 04:00:00
647,141.19,141.28,4823383,142.3,140.11,141.4271,63366,2021-04-01 04:00:00
648,141.85,143.16,5980728,144.34,141.32,143.2316,62678,2021-04-05 04:00:00
649,143.04,143.67,4751927,144.2,142.56,143.566,56925,2021-04-06 04:00:00
650,144,143.41,4849222,144.1,143.02,143.4953,52369,2021-04-07 04:00:00
651,143.68,142.54,6725340,144.16,142.05,142.7422,67252,2021-04-08 04:00:00
652,142.235,142.57,4950949,143.14,141.61,142.3508,56646,2021-04-09 04:00:00
653,142.2,143.02,4386781,143.47,142.05,142.8746,49382,2021-04-12 04:00:00
654,142.07,143.05,5280265,143.97,141.87,143.0267,48880,2021-04-13 04:00:00
655,142.57,142.11,4685255,142.72,141.24,142.0498,62688,2021-04-14 04:00:00
656,141.67,142.31,4777098,143.1,141.42,142.3536,68158,2021-04-15 04:00:00
657,143.46,144.16,6481399,144.32,142.46,143.8632,62550,2021-04-16 04:00:00
658,144.49,144.75,6621282,145.6,143.26,144.7832,73783,2021-04-19 04:00:00
659,144.13,145.71,4999846,146.65,143.93,145.6258,64045,2021-04-20 04:00:00
660,147.345,146.98,6316148,147.8,146.21,146.9463,73855,2021-04-21 04:00:00
661,146.24,146.07,4904476,146.6509,145.38,145.9764,68218,2021-04-22 04:00:00
662,145.51,145.83,4354823,146.34,145.06,145.8659,53884,2021-04-23 04:00:00
663,145.55,143.36,5817715,145.77,142.98,143.5651,57607,2021-04-26 04:00:00
664,142.62,142.89,4693738,143.18,142.125,142.7926,52252,2021-04-27 04:00:00
665,143.49,141.83,4962725,143.69,141.725,142.2824,58454,2021-04-28 04:00:00
666,142.1,143.94,4699889,144.43,141.97,143.6295,60429,2021-04-29 04:00:00
667,143.32,144.16,5051395,144.24,142.5,143.8015,54842,2021-04-30 04:00:00
668,145.028,145.79,6109788,146.78,144.1,145.8448,62163,2021-05-03 04:00:00
669,145.98,143.96,6603849,146.77,143.49,144.5381,76705,2021-05-04 04:00:00
670,143.7153,143.89,5305240,144.57,143.5,143.9864,62765,2021-05-05 04:00:00
671,144.47,145.555,4472242,145.96,144.01,145.3712,63218,2021-05-06 04:00:00
672,145.23,145.56,4181026,146,144.57,145.4598,56080,2021-05-07 04:00:00
673,146.49,146.72,5270594,147.99,146.11,147.1922,68617,2021-05-10 04:00:00
674,147.17,145.65,5266131,147.6399,145.02,145.9398,75479,2021-05-11 04:00:00
