,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
449,223.74,223.54,10437474.0,226.03,222.92,224.2197,109937,2020-06-18 04:00:00
450,226.38,220.64,19858716.0,226.5,220.09,222.3769,171304,2020-06-19 04:00:00
451,220.92,221.41,13405044.0,222.08,219.445,220.7166,123757,2020-06-22 04:00:00
452,225.12,228.75,18466205.0,230.225,224.53,227.3943,181936,2020-06-23 04:00:00
453,228.3,226.22,12326581.0,231.03,224.2524,226.9132,144265,2020-06-24 04:00:00
454,224.59,222.16,15091570.0,224.69,220.87,222.2609,173060,2020-06-25 04:00:00
455,222.21,215.71,19447649.0,222.26,213.5,216.1794,230084,2020-06-26 04:00:00
456,215.03,215.02,12522570.0,216.5,211.82,214.7995,142529,2020-06-29 04:00:00
457,215.74,215.7,13046452.0,216.43,212.89,215.4651,142398,2020-06-30 04:00:00
458,215.81,215.95,11914261.0,216.55,214.74,215.8594,130226,2020-07-01 04:00:00
459,221.85,223.6,18415616.0,225.025,220.06,222.6294,198493,2020-07-02 04:00:00
460,233.31,240.0,34210908.0,240.48,232.82,237.6572,298356,2020-07-06 04:00:00
461,241.01,236.51,16763822.0,241.3,236.13,238.7835,184009,2020-07-07 04:00:00
462,244.86,257.68,40249162.0,258.49,244.02,252.9494,387965,2020-07-08 04:00:00
463,265.55,261.58,37357490.0,268.0,255.91,261.0142,382846,2020-07-09 04:00:00
464,260.21,261.01,20563567.0,261.9,255.71,259.4494,195771,2020-07-10 04:00:00
465,261.45,251.67,21718825.0,265.66,250.68,257.8477,255032,2020-07-13 04:00:00
466,246.57,248.58,20019171.0,249.75,241.23,246.1751,218248,2020-07-14 04:00:00
467,251.48,249.21,12773357.0,252.5,246.54,249.3217,145458,2020-07-15 04:00:00
468,241.77,242.5,18188626.0,245.05,240.74,243.0174,209857,2020-07-16 04:00:00
469,246.55,247.14,18896229.0,247.9299,244.48,246.482,178847,2020-07-17 04:00:00
470,256.45,254.81,19291719.0,257.67,252.43,254.7252,198357,2020-07-20 04:00:00
471,261.21,257.9,17449303.0,261.92,256.52,259.1984,201731,2020-07-21 04:00:00
472,255.76,251.7,19938623.0,256.27,249.6,251.8217,214036,2020-07-22 04:00:00
473,252.1,251.88,25852551.0,257.66,248.69,252.6951,205479,2020-07-23 04:00:00
474,244.96,249.0,17515664.0,249.48,241.89,246.9303,172367,2020-07-24 04:00:00
475,247.11,250.86,19123763.0,252.87,245.81,250.2665,141310,2020-07-27 04:00:00
476,251.15,249.05,10010058.0,251.65,248.53,250.0912,111011,2020-07-28 04:00:00
477,250.34,252.45,11650952.0,254.3,250.1,252.3241,104684,2020-07-29 04:00:00
478,251.7,252.74,7129858.0,253.86,249.62,251.6024,92438,2020-07-30 04:00:00
479,254.2,251.02,12496044.0,254.4,248.1,251.0563,132257,2020-07-31 04:00:00
480,254.02,257.94,11647639.0,260.65,254.0,257.8854,135082,2020-08-03 04:00:00
481,260.08,262.2,11179120.0,262.56,258.82,261.121,109995,2020-08-04 04:00:00
482,263.74,264.91,10930782.0,265.976,261.755,264.2362,119330,2020-08-05 04:00:00
483,263.42,265.68,10479035.0,265.7,259.2,262.7565,117034,2020-08-06 04:00:00
484,257.41,252.1,22808319.0,257.76,247.57,252.7966,266040,2020-08-07 04:00:00
485,249.34,248.13,13884625.0,251.7499,246.1,248.4539,153658,2020-08-10 04:00:00
486,251.29,248.42,10856592.0,252.88,247.83,250.2642,128217,2020-08-11 04:00:00
487,249.25,255.19,11258880.0,256.08,248.68,253.4385,129910,2020-08-12 04:00:00
488,256.39,253.72,8892132.0,256.97,252.8799,254.2772,106266,2020-08-13 04:00:00
489,255.49,253.97,8041877.0,255.77,251.64,253.4858,102257,2020-08-14 04:00:00
490,253.0,256.96,9925554.0,257.375,250.085,255.0806,117224,2020-08-17 04:00:00
491,258.71,259.2,13465447.0,261.42,256.06,259.3144,143746,2020-08-18 04:00:00
492,260.89,260.59,14320434.0,261.29,257.38,259.9286,160791,2020-08-19 04:00:00
493,256.89,257.97,21684285.0,258.88,254.18,257.081,225663,2020-08-20 04:00:00
494,259.03,265.8,25805823.0,267.43,258.31,264.6271,231731,2020-08-21 04:00:00
495,273.24,276.02,22811164.0,276.97,271.62,274.5364,235048,2020-08-24 04:00:00
496,278.06,286.0,27779735.0,289.12,276.04,284.7175,281462,2020-08-25 04:00:00
497,289.26,291.96,19760865.0,292.48,284.1,289.0702,221871,2020-08-26 04:00:00
498,290.17,284.17,15066599.0,290.25,282.1,285.4013,193444,2020-08-27 04:00:00
499,285.09,289.0,9850797.0,289.5,283.57,287.66,115229,2020-08-28 04:00:00
500,288.62,287.03,13536215.0,289.19,283.61,286.4513,155549,2020-08-31 04:00:00
501,289.2,298.0,13992828.0,298.0,288.87,293.9883,171521,2020-09-01 04:00:00
502,299.0,296.07,12944693.0,299.0,289.79,294.1055,174208,2020-09-02 04:00:00
503,289.0,282.5,16993211.0,290.7334,278.16,283.252,244343,2020-09-03 04:00:00
504,279.6,281.39,16152266.0,283.78,267.39,276.8876,236003,2020-09-04 04:00:00
505,270.23,270.02,13088322.0,273.97,266.59,270.9485,168244,2020-09-08 04:00:00
506,274.45,273.15,9617101.0,275.64,270.88,273.569,129045,2020-09-09 04:00:00
507,274.9,267.55,10856398.0,277.1,267.4,272.1921,138238,2020-09-10 04:00:00
508,272.63,271.61,9527924.0,274.53,268.12,271.6424,115060,2020-09-11 04:00:00
509,275.36,274.1,7987560.0,276.29,271.76,274.0111,109847,2020-09-14 04:00:00
510,278.0,277.96,8386950.0,279.1,274.8,277.0769,100255,2020-09-15 04:00:00
511,281.03,278.14,9734451.0,283.605,278.0,280.8228,114917,2020-09-16 04:00:00
512,273.11,275.72,8182649.0,275.9,272.3213,274.2815,102389,2020-09-17 04:00:00
513,275.98,272.41,11847351.0,277.27,270.55,273.2919,118557,2020-09-18 04:00:00
514,269.1,273.82,9214393.0,274.22,266.4,270.3289,105846,2020-09-21 04:00:00
515,276.02,275.29,9794295.0,276.32,270.05,273.8682,88469,2020-09-22 04:00:00
516,275.4,272.95,7442324.0,277.83,271.5,274.3267,82888,2020-09-23 04:00:00
517,267.93,269.73,9631820.0,271.25,267.3338,269.5518,93238,2020-09-24 04:00:00
518,267.57,271.09,11579400.0,271.81,264.56,268.7444,103036,2020-09-25 04:00:00
519,275.53,276.01,8953343.0,278.84,274.1989,276.148,109931,2020-09-28 04:00:00
520,275.43,276.93,7786877.0,279.3,274.9,277.3651,92817,2020-09-29 04:00:00
521,284.01,293.98,24988224.0,295.0,283.71,290.9232,275830,2020-09-30 04:00:00
522,295.26,290.05,16652088.0,295.59,288.25,290.936,194955,2020-10-01 04:00:00
523,286.62,288.17,11667752.0,291.9794,286.51,288.9212,134360,2020-10-02 04:00:00
524,289.06,288.27,18033906.0,290.0,284.88,287.2781,181244,2020-10-05 04:00:00
525,287.41,292.39,15978834.0,296.84,286.91,293.2992,190813,2020-10-06 04:00:00
526,297.99,296.5,16873112.0,299.51,292.87,296.8833,186031,2020-10-07 04:00:00
527,298.11,300.54,15294206.0,302.3,295.441,299.7928,151363,2020-10-08 04:00:00
528,298.55,299.74,11579440.0,302.61,297.74,300.0352,137213,2020-10-09 04:00:00
529,303.95,306.34,14955332.0,309.64,301.2848,306.2288,163707,2020-10-12 04:00:00
530,306.36,308.78,11094004.0,310.01,303.03,307.8006,139947,2020-10-13 04:00:00
531,309.0,301.04,15362607.0,309.96,300.8,305.2081,174014,2020-10-14 04:00:00
532,293.8,299.46,9971016.0,299.8628,292.61,297.4795,124361,2020-10-15 04:00:00
533,303.99,307.31,12462694.0,310.0,302.95,307.3768,140363,2020-10-16 04:00:00
534,309.89,305.29,14168137.0,313.81,303.41,308.2172,160485,2020-10-19 04:00:00
535,307.6,309.81,8950465.0,311.8,307.06,309.7641,112959,2020-10-20 04:00:00
536,311.75,307.97,11272193.0,314.0,307.7,310.273,117945,2020-10-21 04:00:00
537,311.46,306.28,7993031.0,311.85,304.2101,306.8697,107495,2020-10-22 04:00:00
538,307.27,309.92,6329189.0,310.33,304.06,307.7103,89554,2020-10-23 04:00:00
539,309.92,306.87,9385027.0,315.4599,303.2,308.6507,135386,2020-10-26 04:00:00
540,307.75,317.14,13295191.0,319.32,305.61,315.318,163662,2020-10-27 04:00:00
541,313.5,307.94,13849594.0,313.5,306.0,308.5697,177647,2020-10-28 04:00:00
542,309.44,312.56,11369689.0,315.58,308.91,312.1756,142377,2020-10-29 04:00:00
543,308.55,304.69,15108181.0,310.83,300.19,305.2684,204891,2020-10-30 04:00:00
544,310.95,310.84,12099188.0,311.44,305.39,309.159,169519,2020-11-02 05:00:00
545,286.2,285.57,58786991.0,294.28,280.78,287.8618,734357,2020-11-03 05:00:00
546,287.79,295.71,29408892.0,299.17,285.3,293.1323,363266,2020-11-04 05:00:00
547,289.09,287.75,50276773.0,291.25,279.6,285.9585,673365,2020-11-05 05:00:00
548,291.49,299.95,25727817.0,300.89,289.786,295.7993,298696,2020-11-06 05:00:00
549,303.77,290.53,23206787.0,304.0,290.5,295.6404,318283,2020-11-09 05:00:00
550,279.97,266.54,61836545.0,280.0,264.33,268.6802,821452,2020-11-10 05:00:00
551,261.92,265.65,42471316.0,271.92,261.205,266.5855,486924,2020-11-11 05:00:00
552,271.04,264.31,27714835.0,271.2,263.04,266.5139,356732,2020-11-12 05:00:00
553,264.72,260.84,34043081.0,265.44,257.17,259.8458,454756,2020-11-13 05:00:00
554,260.42,258.31,21391457.0,262.57,257.03,259.3077,276855,2020-11-16 05:00:00
555,260.28,256.8,20057893.0,260.28,256.54,257.5795,284301,2020-11-17 05:00:00
556,257.76,255.83,28445164.0,258.31,252.55,255.1137,353704,2020-11-18 05:00:00
557,255.0,259.89,20688544.0,261.4,253.5601,258.284,278820,2020-11-19 05:00:00
558,263.97,270.74,34457165.0,272.3699,261.9,267.9617,419851,2020-11-20 05:00:00
559,274.75,270.11,25799954.0,275.73,266.4107,271.0305,297625,2020-11-23 05:00:00
560,276.235,279.96,21024623.0,280.61,272.8,277.463,249708,2020-11-24 05:00:00
561,275.7,277.72,15378420.0,279.33,274.05,276.5756,209421,2020-11-25 05:00:00
562,278.8,276.48,9583197.0,278.92,275.6656,276.7858,125466,2020-11-27 05:00:00
563,268.97,263.36,30919196.0,268.97,262.52,264.6318,365466,2020-11-30 05:00:00
564,265.47,264.01,14851508.0,265.67,261.57,263.7364,213565,2020-12-01 05:00:00
565,262.0,261.32,13987004.0,263.1,260.11,261.6377,183154,2020-12-02 05:00:00
566,263.78,266.91,15829551.0,268.6,263.14,266.6816,207750,2020-12-03 05:00:00
567,271.02,267.25,15747999.0,271.3,266.27,267.7529,169280,2020-12-04 05:00:00
568,265.7,264.0,11499846.0,265.97,262.6,264.233,140418,2020-12-07 05:00:00
569,265.2,266.09,9606546.0,268.4,263.87,265.957,115597,2020-12-08 05:00:00
570,267.56,263.8,9213507.0,267.91,263.1,264.8636,129671,2020-12-09 05:00:00
571,261.99,264.87,10473993.0,266.0899,261.2001,264.2795,117599,2020-12-10 05:00:00
572,264.29,264.54,7930340.0,265.3199,262.5,264.0325,108241,2020-12-11 05:00:00
573,260.32,256.03,18660381.0,260.855,256.03,257.7141,235742,2020-12-14 05:00:00
574,255.34,255.11,16818836.0,255.68,252.3,254.228,215706,2020-12-15 05:00:00
575,257.74,261.89,16043482.0,263.18,257.04,260.655,180491,2020-12-16 05:00:00
576,264.7,264.43,14498158.0,264.85,260.2,263.0313,171819,2020-12-17 05:00:00
577,263.9,260.0,16137628.0,264.9,259.2,260.4629,167744,2020-12-18 05:00:00
578,255.17,260.43,11140875.0,260.46,254.5,258.3652,146470,2020-12-21 05:00:00
579,257.87,255.83,11664226.0,258.34,255.41,256.476,161753,2020-12-22 05:00:00
580,255.5,256.18,10898176.0,257.3499,252.5301,254.7606,153436,2020-12-23 05:00:00
581,228.235,222.0,142980179.0,229.9,211.23,220.5497,1409979,2020-12-24 05:00:00
582,216.88,222.36,74557884.0,224.99,215.3201,221.7686,714404,2020-12-28 05:00:00
583,231.76,236.26,70411024.0,239.19,229.6,234.9,662427,2020-12-29 05:00:00
584,243.3484,238.39,45353720.0,243.39,234.6452,238.1751,419600,2020-12-30 05:00:00
585,237.46,232.73,23638850.0,238.92,231.0267,233.4723,260959,2020-12-31 05:00:00
586,226.5,227.85,25446468.0,230.38,225.04,227.2422,331433,2021-01-04 05:00:00
587,229.05,240.4,36157124.0,240.76,228.12,237.3101,368521,2021-01-05 05:00:00
588,234.95,227.61,37624984.0,238.3,225.86,231.6965,419280,2021-01-06 05:00:00
589,229.31,226.9,49877385.0,229.95,220.09,224.906,479209,2021-01-07 05:00:00
590,227.88,236.19,35299754.0,238.6,226.6833,234.6353,375025,2021-01-08 05:00:00
591,229.9,227.37,23414173.0,230.8245,225.86,228.9588,261559,2021-01-11 05:00:00
592,228.385,225.6,19307258.0,229.75,225.14,227.3191,223826,2021-01-12 05:00:00
593,229.94,235.3,39183087.0,240.49,226.29,233.5839,383034,2021-01-13 05:00:00
594,245.31,242.98,31948477.0,245.7,241.47,243.8768,356653,2021-01-14 05:00:00
595,246.25,243.46,21818486.0,246.99,242.1501,244.2609,234201,2021-01-15 05:00:00
596,250.0,251.65,24235453.0,252.88,246.99,249.8713,250897,2021-01-19 05:00:00
597,267.5,265.49,45494539.0,269.0,262.7,266.4602,470991,2021-01-20 05:00:00
598,264.13,260.0,20680146.0,264.6,257.9,260.1735,206242,2021-01-21 05:00:00
599,256.8,258.62,13711950.0,260.33,255.5,258.3522,160254,2021-01-22 05:00:00
600,263.62,261.38,19762439.0,265.2,257.85,261.912,237480,2021-01-25 05:00:00
601,263.8,265.92,14820161.0,266.0,261.12,264.0352,169590,2021-01-26 05:00:00
602,265.13,260.25,16260840.0,265.92,259.95,262.15,215251,2021-01-27 05:00:00
603,259.17,260.76,10403913.0,261.57,257.33,259.9767,168252,2021-01-28 05:00:00
604,256.03,253.83,14847623.0,258.9,252.3,254.893,204134,2021-01-29 05:00:00
605,258.8,264.69,15513919.0,265.0,255.195,260.8377,192607,2021-02-01 05:00:00
606,264.57,254.5,30614825.0,265.0,254.04,257.9415,375141,2021-02-02 05:00:00
607,264.7,263.43,29799599.0,268.28,261.2501,265.5505,344306,2021-02-03 05:00:00
608,269.58,266.96,17008162.0,269.99,265.5576,267.4285,200711,2021-02-04 05:00:00
609,264.61,265.67,11007967.0,266.45,263.21,264.9407,144018,2021-02-05 05:00:00
610,264.98,262.59,10908653.0,265.0,261.82,262.9623,143473,2021-02-08 05:00:00
611,263.0,266.49,12582663.0,267.2,262.54,265.5025,146540,2021-02-09 05:00:00
612,268.7,267.79,13255273.0,270.4,264.6,268.1056,170633,2021-02-10 05:00:00
613,268.75,268.93,15403728.0,274.26,267.2,270.8611,190120,2021-02-11 05:00:00
614,269.09,267.85,9450691.0,270.25,265.6804,268.4029,123542,2021-02-12 05:00:00
615,271.0,270.7,17000013.0,274.29,270.4,272.0497,186500,2021-02-16 05:00:00
616,270.89,270.83,13536369.0,272.316,267.81,270.0246,148567,2021-02-17 05:00:00
617,265.23,264.51,15599303.0,266.18,262.33,264.341,153830,2021-02-18 05:00:00
618,266.05,263.59,14683754.0,269.39,262.85,264.7334,158141,2021-02-19 05:00:00
619,257.99,254.0,14637198.0,259.46,254.0,255.8785,194757,2021-02-22 05:00:00
620,247.31,252.75,16278814.0,254.9,241.62,248.7957,235133,2021-02-23 05:00:00
621,252.0,250.34,12959446.0,252.0,248.1,250.0438,152684,2021-02-24 05:00:00
622,250.0,240.18,18131407.0,250.34,240.07,244.5293,236040,2021-02-25 05:00:00
623,244.63,237.76,17568524.0,244.9,237.65,240.1143,204509,2021-02-26 05:00:00
624,241.05,241.69,14251124.0,242.79,239.26,240.9393,171883,2021-03-01 05:00:00
625,238.79,234.42,14798836.0,241.2,234.27,237.6719,198254,2021-03-02 05:00:00
626,237.5,236.27,13762909.0,239.6086,234.4506,236.7421,186698,2021-03-03 05:00:00
627,235.0,230.5,23154703.0,236.37,228.36,232.0679,264940,2021-03-04 05:00:00
628,235.42,233.89,16202452.0,236.43,228.34,232.6107,220319,2021-03-05 05:00:00
629,229.02,226.69,17286085.0,230.81,226.53,228.169,228384,2021-03-08 05:00:00
630,233.38,238.14,15434797.0,238.74,233.075,236.596,197608,2021-03-09 05:00:00
631,241.0,234.3,10636327.0,241.325,233.64,236.0346,152091,2021-03-10 05:00:00
632,237.2,240.8,15321355.0,241.72,235.0,239.423,193963,2021-03-11 05:00:00
633,233.695,231.87,18027786.0,235.45,229.7058,231.5232,238139,2021-03-12 05:00:00
634,228.41,230.28,14713989.0,230.45,226.26,228.319,215901,2021-03-15 04:00:00
635,228.07,226.93,19526801.0,229.85,225.53,227.5543,229279,2021-03-16 04:00:00
636,226.5,233.34,17079353.0,235.63,225.81,231.7282,220990,2021-03-17 04:00:00
637,238.56,236.43,15046395.0,239.5,235.56,237.3298,204592,2021-03-18 04:00:00
638,239.66,239.79,15831051.0,241.6,236.8838,239.7043,185003,2021-03-19 04:00:00
639,235.855,237.12,12227646.0,238.53,235.0,236.7527,137861,2021-03-22 04:00:00
640,237.3,237.67,12400312.0,241.12,235.5,238.9367,171563,2021-03-23 04:00:00
641,236.83,229.59,15634536.0,237.3,229.24,232.0969,225258,2021-03-24 04:00:00
642,225.0,222.72,25068813.0,229.24,222.5,224.8662,308605,2021-03-25 04:00:00
643,222.0,227.26,22233859.0,229.239,220.42,224.9504,278513,2021-03-26 04:00:00
644,225.49,231.86,18241309.0,232.38,225.1,229.8634,212516,2021-03-29 04:00:00
645,229.27,229.25,14978289.0,230.45,226.64,228.5329,183627,2021-03-30 04:00:00
646,229.89,226.73,16974268.0,231.52,226.47,228.7329,207022,2021-03-31 04:00:00
647,230.68,224.36,23648893.0,231.25,223.5,225.7808,291641,2021-04-01 04:00:00
648,226.53,225.3,15091949.0,226.57,222.52,224.6803,178857,2021-04-05 04:00:00
649,226.03,230.57,18273645.0,232.0,225.74,229.2131,221136,2021-04-06 04:00:00
650,226.11,225.42,18179858.0,228.19,224.8,225.9088,212369,2021-04-07 04:00:00
651,228.5,228.24,12336406.0,229.42,226.62,228.2103,177758,2021-04-08 04:00:00
652,224.85,223.31,19931992.0,225.07,221.32,222.6759,278867,2021-04-09 04:00:00
653,237.89,244.01,58110489.0,244.91,236.65,241.8894,589708,2021-04-12 04:00:00
654,243.66,241.89,21133991.0,245.69,239.69,242.7153,265037,2021-04-13 04:00:00
655,244.37,239.23,12630655.0,245.09,238.65,241.3767,182480,2021-04-14 04:00:00
656,240.0,239.09,11420108.0,240.95,238.1268,239.3899,172008,2021-04-15 04:00:00
657,241.89,238.69,14627715.0,241.89,237.82,238.9977,174550,2021-04-16 04:00:00
658,237.44,234.78,11414984.0,238.42,232.81,234.928,167416,2021-04-19 04:00:00
659,232.87,229.88,12181368.0,234.63,228.4301,230.4448,171780,2021-04-20 04:00:00
660,229.33,229.44,14428800.0,229.49,226.0701,227.8788,188793,2021-04-21 04:00:00
661,228.765,229.35,12137345.0,234.0,227.8201,231.1844,180009,2021-04-22 04:00:00
662,230.65,232.08,9083213.0,233.0,230.51,231.8646,130255,2021-04-23 04:00:00
663,231.5,232.7,7952180.0,233.49,230.82,232.1839,124412,2021-04-26 04:00:00
664,233.44,235.92,11775707.0,236.93,232.08,235.3113,157970,2021-04-27 04:00:00
665,237.57,236.72,9313914.0,239.22,236.33,237.712,134762,2021-04-28 04:00:00
666,237.79,234.18,9631907.0,238.05,232.6,234.3425,145509,2021-04-29 04:00:00
667,231.77,230.95,9473905.0,233.85,230.51,231.8933,120691,2021-04-30 04:00:00
668,231.27,230.71,13741274.0,236.1699,230.4052,233.1124,160837,2021-05-03 04:00:00
669,230.25,227.9,13334192.0,231.48,225.45,227.5698,197323,2021-05-04 04:00:00
670,228.0,226.78,10119094.0,229.3,226.73,227.5261,116381,2021-05-05 04:00:00
671,227.11,226.42,12358254.0,228.44,222.88,226.3107,156446,2021-05-06 04:00:00
672,227.9,225.31,10130321.0,228.79,225.05,226.5535,146977,2021-05-07 04:00:00
673,222.87,219.53,17504894.0,222.87,218.56,219.9788,232423,2021-05-10 04:00:00
674,213.71,221.38,14248404.0,221.39,213.0,217.9499,201713,2021-05-11 04:00:00
675,224.74,219.9,20613609.0,225.29,219.0,220.9916,220875,2021-05-12 04:00:00
676,213.15,206.08,51955941.0,215.5,204.39,209.3026,603142,2021-05-13 04:00:00
677,209.9235,209.51,31669746.0,210.94,206.02,208.6458,328341,2021-05-14 04:00:00
678,210.615,211.05,20633075.0,213.15,209.44,210.9629,223482,2021-05-17 04:00:00
679,212.5,213.72,19405957.0,215.17,211.42,213.735,226188,2021-05-18 04:00:00
680,211.1,212.54,16993691.0,212.91,210.12,211.4034,210803,2021-05-19 04:00:00
681,212.995,216.99,19255465.0,217.63,212.63,215.7527,213065,2021-05-20 04:00:00
682,215.23,211.06,22824993.0,215.89,209.87,211.3563,260655,2021-05-21 04:00:00
683,210.03,210.44,16075435.0,212.01,208.7,210.6447,188517,2021-05-24 04:00:00
684,212.83,211.13,14130512.0,214.05,211.01,212.1849,167308,2021-05-25 04:00:00
685,212.3,211.78,9585878.0,213.75,211.54,212.3594,150165,2021-05-26 04:00:00
686,214.17,212.74,18807530.0,215.46,212.53,213.5654,195962,2021-05-27 04:00:00
687,212.76,213.96,10617181.0,214.53,212.06,213.8104,122289,2021-05-28 04:00:00
688,223.02,219.48,23624457.0,223.13,218.24,220.2664,294498,2021-06-01 04:00:00
689,219.43,219.59,13243211.0,219.94,217.46,219.0887,152226,2021-06-02 04:00:00
690,218.0,217.04,12604800.0,218.7,216.305,217.0105,161461,2021-06-03 04:00:00
691,218.28,219.02,9182206.0,219.08,217.14,218.4902,117777,2021-06-04 04:00:00
692,218.0,216.9,10076294.0,218.4,215.69,216.7939,141012,2021-06-07 04:00:00
693,217.29,215.82,9621922.0,218.23,214.74,215.9688,140401,2021-06-08 04:00:00
694,215.21,213.32,10349439.0,216.57,213.31,214.6646,141640,2021-06-09 04:00:00
695,213.5,213.07,10886687.0,214.8,212.21,213.3978,157411,2021-06-10 04:00:00
696,213.45,211.64,12465068.0,213.46,211.0,211.7404,154457,2021-06-11 04:00:00
697,212.25,213.94,10916837.0,215.165,212.2435,213.7091,138231,2021-06-14 04:00:00
698,214.17,210.06,12353695.0,214.49,209.64,211.0588,169864,2021-06-15 04:00:00
699,209.75,209.32,11066332.0,211.62,208.2256,209.9185,164684,2021-06-16 04:00:00
700,209.9,211.6,11342651.0,212.49,209.77,211.4153,145012,2021-06-17 04:00:00
701,212.01,212.3,13770843.0,213.84,210.59,212.3749,159502,2021-06-18 04:00:00
702,210.55,211.06,9148059.0,211.78,208.99,210.6705,136985,2021-06-21 04:00:00
703,210.42,211.32,11218512.0,211.66,209.86,210.9045,129970,2021-06-22 04:00:00
704,214.19,214.86,14002085.0,216.33,213.13,214.9512,168174,2021-06-23 04:00:00
705,216.99,218.38,13648562.0,219.58,215.56,217.9066,150156,2021-06-24 04:00:00
706,221.71,228.5,27640318.0,230.25,221.1,225.7695,256997,2021-06-25 04:00:00
707,229.5,228.59,13827766.0,230.89,226.72,228.5866,181034,2021-06-28 04:00:00
708,226.7,229.44,10378893.0,229.64,225.602,227.9463,140231,2021-06-29 04:00:00
709,226.99,226.78,9532744.0,227.98,225.68,226.6298,143879,2021-06-30 04:00:00
710,228.07,221.87,13460947.0,228.85,221.55,223.5444,185901,2021-07-01 04:00:00
711,219.16,217.75,13195784.0,219.5,216.46,217.6418,179725,2021-07-02 04:00:00
712,215.32,211.6,24019901.0,215.4,209.3733,211.8852,316959,2021-07-06 04:00:00
713,211.61,208.0,18593534.0,212.05,207.82,209.5327,226417,2021-07-07 04:00:00
714,201.71,199.85,34346711.0,202.28,198.26,200.1534,437141,2021-07-08 04:00:00
715,202.05,205.94,17165664.0,207.268,201.5,205.0715,211972,2021-07-09 04:00:00
716,203.9,205.48,11498477.0,206.455,203.02,205.0491,163344,2021-07-12 04:00:00
717,209.23,209.51,17571002.0,212.81,208.19,210.5281,226075,2021-07-13 04:00:00
718,215.5,211.5,19574296.0,216.35,211.03,213.3441,221886,2021-07-14 04:00:00
719,215.11,214.76,14514418.0,216.6,213.1606,214.63,192273,2021-07-15 04:00:00
720,214.85,212.1,11216350.0,215.2,211.46,212.4292,137354,2021-07-16 04:00:00
721,206.1,208.91,16104658.0,209.08,203.24,206.3955,240187,2021-07-19 04:00:00
722,209.0,210.59,10032854.0,211.5,207.4668,209.7481,119792,2021-07-20 04:00:00
723,209.15,211.08,7769207.0,211.85,208.42,210.4452,104874,2021-07-21 04:00:00
724,212.64,214.04,10540809.0,216.39,212.6,214.4044,132466,2021-07-22 04:00:00
725,206.29,206.53,25838364.0,206.89,203.56,205.172,308819,2021-07-23 04:00:00
726,198.37,191.76,56293546.0,198.575,190.88,194.0838,680548,2021-07-26 04:00:00
727,183.59,186.07,60219059.0,186.9,179.6701,183.4483,666457,2021-07-27 04:00:00
728,190.23,196.01,34898210.0,198.0,189.76,193.8171,410009,2021-07-28 04:00:00
729,201.045,197.54,23363233.0,201.14,194.91,198.247,288224,2021-07-29 04:00:00
730,190.58,195.19,17250595.0,196.045,190.49,194.244,214665,2021-07-30 04:00:00
