WBEV,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
33,5.09,5.55,46705,5.59,5.06,5.4269,526,2021-12-30 05:00:00
34,5.55,5.25,93375,5.55,5.0102,5.223,531,2021-12-31 05:00:00
35,5.25,5.81,27500,5.9016,5.05,5.4948,258,2022-01-03 05:00:00
36,6.61,6.97,554859,7.97,6,7.2771,4274,2022-01-04 05:00:00
37,7.67,7.68,247782,8.25,6.97,7.75,1369,2022-01-05 05:00:00
38,8.66,8.02,55666,8.66,7.8,8.0163,599,2022-01-06 05:00:00
39,8.37,7.5,83420,8.37,7.3,7.6612,561,2022-01-07 05:00:00
40,7.23,7.25,35907,7.68,7.01,7.2971,247,2022-01-10 05:00:00
41,7.64,7.76,76928,7.9984,7.02,7.5101,578,2022-01-11 05:00:00
42,7.75,7.415,233186,8.47,7.262,8.0148,873,2022-01-12 05:00:00
43,7.55,7.26,16261,7.87,7.26,7.3253,206,2022-01-13 05:00:00
44,7.17,7.22,14810,7.55,7.1126,7.2227,124,2022-01-14 05:00:00
45,7.94,7.29,21959,7.94,7.29,7.455,251,2022-01-18 05:00:00
46,7.3,7.58,56284,7.75,7.25,7.4887,458,2022-01-19 05:00:00
47,7.67,7.07,33459,7.67,7.05,7.303,149,2022-01-20 05:00:00
48,7.01,6.11,35297,7.0736,6.01,6.5147,271,2022-01-21 05:00:00
49,6.11,6.44,19270,6.7,6.1,6.3554,176,2022-01-24 05:00:00
50,6.55,6.15,31138,6.55,6.1,6.262,260,2022-01-25 05:00:00
51,6.13,6.27,16078,6.63,6.06,6.3559,274,2022-01-26 05:00:00
52,6.26,5.99,10302,6.26,5.8155,5.9786,149,2022-01-27 05:00:00
53,6.07,5.29,23823,6.5973,5.29,5.5136,236,2022-01-28 05:00:00
54,5.82,6.3,21106,6.405,5.4231,6.0343,204,2022-01-31 05:00:00
55,6.72,6.4,28883,6.72,5.93,6.3002,379,2022-02-01 05:00:00
56,6.5,6.25,6766,6.56,6,6.1862,149,2022-02-02 05:00:00
57,6.08,5.76,9978,6.08,5.48,5.7859,121,2022-02-03 05:00:00
58,5.29,5.27,26125,5.8,5.27,5.6674,488,2022-02-04 05:00:00
59,5.25,5.2,20642,5.33,5.01,5.1531,210,2022-02-07 05:00:00
60,5.05,5.32,20786,5.57,5,5.3866,291,2022-02-08 05:00:00
61,5.16,5.2,10564,5.6982,5.16,5.4481,122,2022-02-09 05:00:00
62,5.19,5.36,2973,5.43,5.11,5.2716,64,2022-02-10 05:00:00
