BTCUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
289,20371.96,20447.86,55985.2955981881,21362,20209.73,20626.4194,850828,2022-06-17
290,20447.86,18948.89,83831.5828605495,20750,17567.45,18967.7333,1238812,2022-06-18
291,18944.66,20552.44,50648.971957573,20799.9,17911,19483.3985,819304,2022-06-19
292,20552.39,20549.75,38760.8815932666,21041.62,19603.8,20335.1672,715898,2022-06-20
293,20547.68,20696.96,37185.6583668896,21711,20323.6,21094.3124,841536,2022-06-21
294,20700.01,19971.2,39920.3835797904,20873.52,19730,20297.7423,958152,2022-06-22
295,19952,21109.8,31419.0946241528,21211.97,19855,20582.4396,811242,2022-06-23
296,21076,21223.72,32081.2332927414,21549,20704,21111.8268,768374,2022-06-24
297,21218.68,21478.04,17013.0182805066,21594.5,20888.8,21251.3376,555155,2022-06-25
298,21474.14,21023.3,15861.9747504073,22020,20944.68,21387.3275,502261,2022-06-26
299,21023.4,20716.3,24206.1443740814,21534,20500,20972.5106,596355,2022-06-27
300,20722.79,20272,23298.1100092835,21208,20164.7,20660.8255,643716,2022-06-28
301,20271,20094.79,26027.4874346926,20430,19823.43,20098.8199,659076,2022-06-29
302,20098,19985.62,39500.4471906929,20157,18603,19238.9299,800554,2022-06-30
303,19943,19252.76,44125.5046320732,20959,18938.33,19587.9339,784346,2022-07-01
304,19281,19224.03,13667.282645732,19445,18955.02,19222.0213,423303,2022-07-02
305,19225.54,19291.33,16408.0813563085,19684.3,18738.6,19182.3448,385613,2022-07-03
306,19291.35,20211.57,21488.0763241733,20343,19029.33,19691.1219,515972,2022-07-04
307,20233,20153.75,31549.7889031183,20736,19274.95,19953.564,654169,2022-07-05
308,20169,20542.67,26022.2216117817,20665.61764153,19743,20189.114,600069,2022-07-06
309,20551.24599564,21614.6,36318.3229634801,21855.72,20224.8,21041.6539,693904,2022-07-07
310,21597,21582.2,42019.92614287,22498,21172,21758.9523,745543,2022-07-08
311,21582.28,21583.94,13282.0250751614,21976,21311.04,21619.266,436672,2022-07-09
312,21582.16,20850.64,15239.058949769,21595.75,20620.3,21062.047,429999,2022-07-10
313,20850.65,19942.43,26197.65026486,20869,19860.12,20393.9796,475505,2022-07-11
314,19944.72,19304.67,32395.846154645,20038.23365274,19214.1,19699.9869,496124,2022-07-12
315,19304.69,20220.23,45722.7226553751,20347,18892,19535.0505,624086,2022-07-13
316,20222.3,20577.02,34672.3548521919,21026,19607.14,20228.1519,550691,2022-07-14
317,20574.89,20827.78,24673.7992201046,21196.37,20368.67,20825.9835,508371,2022-07-15
318,20823.06,21189.71,19302.9409582942,21606,20474,21041.8426,426747,2022-07-16
319,21189.23,20791.74,17073.9566334798,21667.1,20748.7,21209.8711,433651,2022-07-17
320,20791.74,22437,47045.5826731083,22780,20755.95,21980.8505,702893,2022-07-18
321,22435.66,23395.06,53089.8621870967,23800,21578.57,22683.7683,750189,2022-07-19
322,23398.46,23226.99,49252.6687593573,24287.13,22899,23608.1112,718501,2022-07-20
323,23225.24,23153.95,36565.5151848316,23434.65,22340.07,22881.2687,573615,2022-07-21
324,23152.76,22687.68,29855.9694908674,23763.55,22505.56,23212.1427,522678,2022-07-22
325,22688.85,22450.69,17948.9887876998,23006.16,21941.01,22394.1007,381601,2022-07-23
326,22451.36,22582.01,14316.8074039803,23036.46,22261,22685.5723,311581,2022-07-24
327,22583.38,21313.41,47452.4105561209,22665.74,21252.5,21868.7154,764537,2022-07-25
328,21299.7,21261.57,28070.3914749631,21344.43,20696,21015.8065,487385,2022-07-26
329,21268,22962.59,37371.6687370064,23110.73,21045.73,21986.6858,586983,2022-07-27
330,22960.68,23851.7,38317.3319481076,24206.11,22487.9,23402.8317,637393,2022-07-28
331,23851.66,23784.53,28043.2400511921,24499.3,23429.71,23876.8516,568655,2022-07-29
332,23784.6,23650.13,20771.9408222021,24736,23512,24140.6676,429660,2022-07-30
333,23648.12,23307.44,13467.3482052938,24211,23233,23698.8668,363495,2022-07-31
334,23291,23273.86,21308.3981101274,23524.8,22850,23185.6766,460976,2022-08-01
335,23273.85,22990.92,22753.8178117842,23469.1,22649.1,22989.7942,482364,2022-08-02
336,22994.78,22825,32849.8926981973,23650.96,22680,23224.0598,583717,2022-08-03
337,22813.21307165,22623.94,29570.4611310274,23234.29,22390,22830.6449,627571,2022-08-04
338,22624.44,23312,39100.232581583,23479,22589.83,23102.0272,850783,2022-08-05
339,23312,22960.92,12226.6188007102,23357.19,22898,23175.0668,480078,2022-08-06
340,22929.97521111,23177.39,12309.3262704401,23435,22836,23113.4242,451270,2022-08-07
341,23180.26,23815.65,30637.6702844703,24285.3,23158.32,23894.8308,708926,2022-08-08
342,23815.68,23158.27,29390.0427017076,23929.35,22871.66,23340.8654,650097,2022-08-09
343,23158.32,23962.18,40393.3324841056,24227,22650,23581.3722,831226,2022-08-10
344,23954,23944.86,40118.2373521753,24929.99,23861,24424.1404,927433,2022-08-11
345,23944.85,24415.17,23989.9153381609,24472.4,23600,24006.3086,762987,2022-08-12
346,24417.16,24456.49,20171.3893789569,24900,24284,24555.2654,646976,2022-08-13
347,24458.21,24316.71,28057.3219620413,25068,24143,24625.4829,741938,2022-08-14
348,24303,24097.82,40741.6105312109,25214.57,23758,24304.1029,876256,2022-08-15
349,24099.74,23857.93,26445.2224667149,24253.98,23668,23938.33,696427,2022-08-16
350,23857.89,23332.48537268,33405.8638595088,24448.49,23170,23677.2486,656926,2022-08-17
351,23344.42,23189.46,18757.0504593469,23600,23106.4,23396.6364,571747,2022-08-18
352,23194,20834.94,62193.0426484758,23206.76,20782.39,21666.3946,1095281,2022-08-19
353,20834.94,21138.57,26079.3331798058,21372.93,20760.93,21134.6514,750245,2022-08-20
354,21139.23,21518.62,20907.8975883271,21812.8,21062.9,21398.5011,676678,2022-08-21
355,21514.45,21398.25,32411.0642355547,21540,20889.69,21230.8859,740149,2022-08-22
356,21396,21528.34,30321.7502584555,21685,20889.69,21407.0072,744893,2022-08-23
357,21526.22,21367.12,30281.2307368743,21930,21147.41,21498.5073,704616,2022-08-24
