MNST,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
566,42.865,43.26,4931046,43.385,42.78,43.118,27025,2020-12-03 05:00:00
567,43.07,43.72,3642660,43.805,43.0625,43.6452,17208,2020-12-04 05:00:00
568,43.475,43.585,2626370,43.88,43.3325,43.5366,17901,2020-12-07 05:00:00
569,43.93,44.1,4275664,44.445,43.405,44.0403,22868,2020-12-08 05:00:00
570,44.2,43.95,2969506,44.35,43.735,43.9522,19600,2020-12-09 05:00:00
571,44.275,44.015,2506586,44.309,43.755,44.0396,16318,2020-12-10 05:00:00
572,43.775,44.01,3817072,44.11,43.5125,43.9019,21146,2020-12-11 05:00:00
573,44.14,44.21,3382674,44.745,44.05,44.339,18476,2020-12-14 05:00:00
574,44.49,44.29,3514960,44.58,44.085,44.3043,19968,2020-12-15 05:00:00
575,44.375,44.9,2729218,44.97,44.2775,44.7939,16530,2020-12-16 05:00:00
576,44.99,45.07,2740420,45.225,44.76,45.0304,19050,2020-12-17 05:00:00
577,45.355,45.065,8386680,45.355,44.54,45.0471,17182,2020-12-18 05:00:00
578,44.425,44.485,3013532,44.725,43.655,44.2886,18001,2020-12-21 05:00:00
579,44.305,44.135,3033110,44.415,43.99,44.2323,14787,2020-12-22 05:00:00
580,44.14,44.47,2832200,44.75,44.1,44.4457,16937,2020-12-23 05:00:00
581,44.5,44.905,922824,45.01,44.495,44.8238,6232,2020-12-24 05:00:00
582,45.18,45.405,1725178,45.4531,45.105,45.313,12878,2020-12-28 05:00:00
583,45.6,45.52,1765310,45.72,45.255,45.5282,12422,2020-12-29 05:00:00
584,45.53,45.73,1574350,45.84,45.53,45.7106,11541,2020-12-30 05:00:00
585,45.76,46.24,2388046,46.27,45.5325,46.0947,13434,2020-12-31 05:00:00
586,46.255,45.3,6013194,46.275,44.4,45.2341,28144,2021-01-04 05:00:00
587,44.945,45.71,5060468,45.83,44.725,45.3242,22352,2021-01-05 05:00:00
588,45.53,45.35,7577890,45.7,45.045,45.3687,32809,2021-01-06 05:00:00
589,45.285,46.75,6040852,46.8,45.135,46.1506,25063,2021-01-07 05:00:00
590,46.8875,47.495,6277510,47.53,46.475,47.195,29561,2021-01-08 05:00:00
591,47.43,46.47,3017696,47.5525,46.27,46.6466,21300,2021-01-11 05:00:00
592,46.63,46.995,5388468,47.2125,46.3025,46.9414,29440,2021-01-12 05:00:00
593,47,45.935,6745112,47.08,45.905,46.4101,26576,2021-01-13 05:00:00
594,45.86,45.68,4772256,46.34,45.2654,45.6665,23736,2021-01-14 05:00:00
595,45.15,45.825,6141440,46.25,44.8613,45.6185,25437,2021-01-15 05:00:00
596,46.17,45.04,4727004,46.495,45.01,45.2702,22895,2021-01-19 05:00:00
597,45.065,44.805,3974390,45.235,44.6432,44.8781,19466,2021-01-20 05:00:00
598,44.805,44.6,2556024,44.845,44.31,44.6635,17277,2021-01-21 05:00:00
599,44.555,44.1,2393472,44.6975,44.04,44.1979,15570,2021-01-22 05:00:00
600,44.28,44.23,3477568,44.7,44.055,44.2582,22933,2021-01-25 05:00:00
601,44.15,44.4,2875114,44.87,44.1375,44.4768,16844,2021-01-26 05:00:00
602,44.015,42.965,7168696,44.265,42.6775,43.1554,39387,2021-01-27 05:00:00
603,43.39,44.365,3769168,44.665,43.315,44.2256,23263,2021-01-28 05:00:00
604,43.755,43.415,3693968,44.335,43.385,43.7038,20483,2021-01-29 05:00:00
605,43.405,44.125,3085044,44.215,43.22,43.9654,20516,2021-02-01 05:00:00
606,44.505,45.22,3255082,45.7787,44.295,45.3365,21376,2021-02-02 05:00:00
607,45.105,45.205,2593122,45.57,44.625,45.1846,18861,2021-02-03 05:00:00
608,45.135,45.735,2404562,45.8,45.105,45.6227,15079,2021-02-04 05:00:00
609,46.025,45.55,3452368,46.36,45.43,45.7953,20530,2021-02-05 05:00:00
610,45.86,45.44,3406828,46.0622,45.015,45.3723,19720,2021-02-08 05:00:00
611,45.225,45.255,2069090,45.385,44.86,45.2285,15005,2021-02-09 05:00:00
612,45.585,45.225,3267704,45.595,44.68,45.1877,19504,2021-02-10 05:00:00
613,45.395,44.97,2058154,45.505,44.865,44.9901,14471,2021-02-11 05:00:00
614,44.95,45.865,3215302,45.925,44.735,45.5856,19337,2021-02-12 05:00:00
615,45.865,46.09,3672310,46.385,45.785,46.0767,21922,2021-02-16 05:00:00
616,46,46.08,2404102,46.1938,45.7279,46.0204,18857,2021-02-17 05:00:00
617,45.735,46.325,2623126,46.475,45.5,46.2045,19048,2021-02-18 05:00:00
618,46.17,44.825,4606474,46.25,44.69,45.2799,20391,2021-02-19 05:00:00
619,44.785,44.585,4382134,44.98,44.4,44.6026,22886,2021-02-22 05:00:00
620,44.76,44.16,5441450,44.775,43.22,44.0376,30044,2021-02-23 05:00:00
621,43.725,44.12,3999992,44.4472,43.25,43.9964,25634,2021-02-24 05:00:00
622,43.95,42.675,6369048,44.445,42.5775,42.9573,36820,2021-02-25 05:00:00
623,43.81,43.87,9419000,44.815,43.11,43.9885,43353,2021-02-26 05:00:00
624,44.065,43.775,4140762,44.4925,43.2,43.7458,26687,2021-03-01 05:00:00
