FIZZ,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
829,47.09,46.89,267192,47.71,46.4,46.8761,6048,2021-12-20 05:00:00
830,47.02,46.45,225015,47.31,46.33,46.677,5491,2021-12-21 05:00:00
831,46.28,46.5,275432,47.18,45.53,46.4659,3940,2021-12-22 05:00:00
832,46.39,46.64,166342,46.77,45.88,46.4054,3336,2021-12-23 05:00:00
833,46.63,46.61,163978,47.14,46.29,46.5509,3530,2021-12-27 05:00:00
834,46.38,45.51,163165,46.5109,45.33,45.7041,3493,2021-12-28 05:00:00
835,45.63,45.7,121145,45.99,45.28,45.6859,2995,2021-12-29 05:00:00
836,45.94,45.93,267117,46.15,44.95,45.6921,5211,2021-12-30 05:00:00
837,45.93,45.33,178735,46.02,44.97,45.3936,4392,2021-12-31 05:00:00
838,45.42,46.62,143782,46.66,44.821,46.0746,3591,2022-01-03 05:00:00
839,46.45,47.11,165941,47.39,45.8001,46.7625,4328,2022-01-04 05:00:00
840,46.99,45.38,175541,47.035,45.24,45.7974,4158,2022-01-05 05:00:00
841,45.16,45.08,189551,45.97,44.53,45.2401,3867,2022-01-06 05:00:00
842,45.12,44.8,272264,45.53,44.545,44.8422,3462,2022-01-07 05:00:00
843,44.81,46.01,265936,46.88,44.48,45.888,6177,2022-01-10 05:00:00
844,45.91,45.67,163666,46.06,44.85,45.3399,3980,2022-01-11 05:00:00
845,45.85,44.99,187771,46.09,44.9101,45.1557,4668,2022-01-12 05:00:00
846,45.39,44.79,130136,45.58,44.66,45.006,3005,2022-01-13 05:00:00
847,44.63,45.07,210052,45.2,44.29,44.8953,4016,2022-01-14 05:00:00
848,44.6,43.21,276052,44.78,42.59,43.189,5435,2022-01-18 05:00:00
849,43.91,43.37,194295,43.91,42.72,43.3108,4200,2022-01-19 05:00:00
850,43.62,42.87,178519,44.12,42.75,43.2875,3909,2022-01-20 05:00:00
851,42.67,42.96,177905,43.86,42.51,43.2222,3639,2022-01-21 05:00:00
852,42.91,43.7,223120,43.85,41.94,43.0272,5110,2022-01-24 05:00:00
853,43.33,43.29,185512,44.35,42.92,43.5978,3471,2022-01-25 05:00:00
854,43.42,42.2,161601,43.56,41.745,42.4918,3871,2022-01-26 05:00:00
855,42.37,41.9,232379,43.34,41.3731,42.0307,4616,2022-01-27 05:00:00
856,41.93,43.25,214991,43.42,41.36,42.7972,4162,2022-01-28 05:00:00
857,43.16,44.67,300459,45.1,43.1,44.4518,4868,2022-01-31 05:00:00
858,44.9,44.59,211629,44.9,43.57,44.4309,4565,2022-02-01 05:00:00
859,44.75,44.3,170037,45.52,43.96,44.3128,3834,2022-02-02 05:00:00
860,44.12,43.62,134308,44.56,43.57,43.8287,2683,2022-02-03 05:00:00
861,43.62,42.58,188384,43.875,41.92,42.6224,3421,2022-02-04 05:00:00
862,42.75,42.95,150201,43.24,42.25,42.86,2974,2022-02-07 05:00:00
863,42.85,44.78,138314,44.99,42.85,44.3576,3618,2022-02-08 05:00:00
864,44.84,45.33,168713,45.5,44.71,45.1296,4321,2022-02-09 05:00:00
865,44.76,44.33,226774,45.425,44.06,44.5714,4719,2022-02-10 05:00:00
866,44.62,45.33,163190,45.4,44.62,45.1759,3680,2022-02-11 05:00:00
867,45.38,45.45,173328,45.65,44.7,45.3568,3786,2022-02-14 05:00:00
868,45.64,44.73,121968,46.33,44.645,44.9824,3033,2022-02-15 05:00:00
869,44.77,43.36,190813,44.77,42.95,43.46,4747,2022-02-16 05:00:00
870,43.2,43.22,109781,43.66,42.8,43.2639,2980,2022-02-17 05:00:00
871,43.1,42.43,143030,43.35,41.85,42.4129,3030,2022-02-18 05:00:00
872,42.18,42.33,154671,42.781,41.7023,42.2235,3843,2022-02-22 05:00:00
873,42.58,40.51,129459,42.65,40.48,40.9352,3335,2022-02-23 05:00:00
874,40.1,42.22,185961,42.26,39.63,41.158,4020,2022-02-24 05:00:00
875,42.4,43.35,132203,43.38,42,43.0066,3461,2022-02-25 05:00:00
876,42.9,44.01,178105,44.15,42.89,43.6498,3228,2022-02-28 05:00:00
877,43.91,43.33,154778,44.28,42.57,43.1819,3695,2022-03-01 05:00:00
878,42.97,43.93,104919,44.16,42.01,43.8488,2870,2022-03-02 05:00:00
879,44.19,43.06,125882,44.28,42.8,43.1875,2856,2022-03-03 05:00:00
880,42.72,42.69,110551,42.96,42.34,42.6307,2652,2022-03-04 05:00:00
881,43.64,43.04,207449,43.64,42.55,43.1101,4450,2022-03-07 05:00:00
882,43.05,42.18,159536,43.05,41.31,42.2964,3720,2022-03-08 05:00:00
883,42.83,43.57,186360,44.218,42.83,43.7226,4655,2022-03-09 05:00:00
884,42.98,40.63,221609,43.46,40.29,40.816,4956,2022-03-10 05:00:00
885,40.5,39.54,327099,42.41,38.38,39.7386,5970,2022-03-11 05:00:00
886,39.6,39,386717,39.6,38.1001,38.8539,5704,2022-03-14 04:00:00
887,39.35,40.51,207759,40.6,39.13,40.1685,3697,2022-03-15 04:00:00
888,40.76,42.07,262803,42.4,40.76,41.9305,6210,2022-03-16 04:00:00
889,42.08,41.54,223086,42.49,41.39,41.7628,5302,2022-03-17 04:00:00
890,42.62,43.87,752435,43.97,41.75,43.034,6018,2022-03-18 04:00:00
891,43.59,43.19,188601,44.66,42.8,43.5341,4612,2022-03-21 04:00:00
892,43.04,43.48,134923,43.895,42.86,43.435,3076,2022-03-22 04:00:00
