SUSHIUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
339,1.5158,1.51,596811.404771481,1.56,1.49,1.5227,2913,2022-08-06
340,1.5,1.5,510174.487705919,1.54,1.47,1.503,2646,2022-08-07
341,1.5,1.5627,802763.829786608,1.63,1.5,1.5738,3991,2022-08-08
342,1.56,1.425,1319983.44009238,1.58,1.42,1.4792,4736,2022-08-09
343,1.424,1.58,1747107.40579456,1.61,1.3868,1.5033,6117,2022-08-10
344,1.58,1.54,1092746.41179652,1.62,1.52,1.585,4254,2022-08-11
345,1.5356,1.5664,655258.535672063,1.58,1.5,1.5417,3034,2022-08-12
346,1.57,1.54,764110.334580001,1.6,1.52,1.5551,3158,2022-08-13
347,1.53,1.48,1046967.96960216,1.61,1.45,1.5262,4121,2022-08-14
348,1.48,1.4467,925920.388644811,1.55,1.4149,1.4694,3807,2022-08-15
349,1.4457,1.4154,481081.560982639,1.47,1.4,1.4328,2495,2022-08-16
350,1.42,1.3741,692739.73819538,1.48,1.35,1.4044,2993,2022-08-17
351,1.3739,1.3,716323.899567411,1.4,1.29,1.3537,3136,2022-08-18
352,1.2997,1.18,1629821.43566159,1.31,1.16,1.2166,6443,2022-08-19
353,1.19,1.1706,814802.6870123,1.2217,1.13,1.1827,3279,2022-08-20
354,1.17,1.21,428984.06888288,1.22,1.16,1.19,2193,2022-08-21
355,1.2003,1.19,624784.33439376,1.21,1.13,1.1599,2665,2022-08-22
356,1.1899,1.2128,929336.013678539,1.24,1.15,1.2053,3347,2022-08-23
357,1.2125,1.1971,646681.440755361,1.2337,1.1746,1.2089,2501,2022-08-24
358,1.199,1.2006,1848856.53932271,1.2621,1.181,1.2216,9058,2022-08-25
359,1.2004,1.0685,2039473.58181487,1.2105,1.0514,1.1344,8110,2022-08-26
360,1.0684,1.0612,1179598.68472004,1.0839,1.0442,1.0652,4524,2022-08-27
361,1.061,1.0043,1061587.88078483,1.0726,0.9988,1.0436,5404,2022-08-28
362,1.0053,1.102,986047.396828031,1.1094,0.9931,1.0456,6830,2022-08-29
363,1.1013,1.0526,1659195.5518216,1.1129,1.0208,1.0684,8109,2022-08-30
364,1.0521,1.0347,1304497.86792158,1.096,1.03,1.0644,5123,2022-08-31
365,1.0349,1.0597,701213.353151121,1.0649,1.0066,1.0318,4374,2022-09-01
366,1.0608,1.1131,1424954.4765839,1.1472,1.0447,1.1007,7492,2022-09-02
367,1.114,1.1328,941276.469959859,1.1415,1.0832,1.1159,7010,2022-09-03
368,1.1335,1.1581,594807.290259761,1.1765,1.1107,1.1364,3547,2022-09-04
369,1.1576,1.2398,1557864.6057332,1.2436,1.1197,1.1869,10686,2022-09-05
370,1.2386,1.1464,1466422.44131636,1.2687,1.1257,1.1898,7480,2022-09-06
371,1.1466,1.2513,2398996.4030541,1.2682,1.0849,1.1486,11295,2022-09-07
372,1.2529,1.3273,2732228.27825137,1.3719,1.1856,1.2692,12390,2022-09-08
373,1.3274,1.3263,2309654.49944494,1.3676,1.2925,1.3243,10481,2022-09-09
374,1.3271,1.3351,1841972.72298097,1.3776,1.2893,1.333,11382,2022-09-10
375,1.3357,1.3029,979905.630052238,1.3679,1.2753,1.3231,5433,2022-09-11
376,1.3018,1.2695,1525584.93061731,1.3504,1.2453,1.2998,11483,2022-09-12
377,1.2681,1.1703,2343908.17161663,1.2824,1.1696,1.2296,11117,2022-09-13
378,1.1709,1.1889,1074054.28874715,1.2067,1.152,1.1826,6831,2022-09-14
379,1.1875,1.1128,1266482.31330717,1.1897,1.1053,1.1405,7918,2022-09-15
380,1.1145,1.1346,1381950.80286877,1.1462,1.0932,1.1223,9864,2022-09-16
381,1.1345,1.1798,781644.319742633,1.1838,1.12,1.1451,5402,2022-09-17
382,1.18,1.0284,1685315.90733888,1.1806,0.98384,1.0897,5934,2022-09-18
383,1.0293,1.0665,1234786.90012784,1.0799,0.99899,1.0413,5490,2022-09-19
384,1.0664,1.0353,989487.636244397,1.076,1.0296,1.0529,4244,2022-09-20
385,1.0349,1.0124,1653823.95844711,1.1088,0.9919,1.0473,8044,2022-09-21
386,1.0112,1.088,1148804.76205433,1.096,1.0085,1.0543,7691,2022-09-22
387,1.0866,1.0827,1238468.54203604,1.1142,1.0336,1.0684,4637,2022-09-23
388,1.0851,1.0696,753335.189110911,1.119,1.0668,1.0932,3564,2022-09-24
389,1.0685,1.0388,886150.898078887,1.0919,1.0275,1.0555,4090,2022-09-25
390,1.0395,1.0616,988988.025890921,1.0618,1.0113,1.0414,3844,2022-09-26
391,1.061,1.0696,1971430.53631277,1.1411,1.0413,1.0995,7162,2022-09-27
392,1.0689,1.073,1311574.72400142,1.0813,1.0223,1.0474,3870,2022-09-28
393,1.0734,1.1061,1019952.29273881,1.1116,1.0528,1.0818,4509,2022-09-29
394,1.1075,1.1031,1545931.67597544,1.1348,1.0832,1.1011,6645,2022-09-30
395,1.1034,1.0737,1338828.26048157,1.1252,1.0654,1.0966,7913,2022-10-01
396,1.0732,1.0325,1676011.91152066,1.0756,1.0278,1.0572,7076,2022-10-02
397,1.0333,1.0872,934339.912967092,1.0928,1.0162,1.0589,6942,2022-10-03
