AAPL,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
579,131.61,131.88,169351825,134.405,129.65,132.2514,1132116,2020-12-22 05:00:00
580,132.16,130.96,88223692,132.43,130.78,131.5993,557220,2020-12-23 05:00:00
581,131.32,131.97,54930064,133.46,131.1,132.3339,365718,2020-12-24 05:00:00
582,133.99,136.69,124486237,137.34,133.51,135.8414,782397,2020-12-28 05:00:00
583,138.05,134.87,121047324,138.789,134.3409,136.3766,797011,2020-12-29 05:00:00
584,135.58,133.72,95452124,135.99,133.4,134.3227,630840,2020-12-30 05:00:00
585,134.08,132.69,99089086,134.74,131.72,132.8801,652165,2020-12-31 05:00:00
586,133.52,129.41,143285672,133.6116,126.76,129.7326,1310217,2021-01-04 05:00:00
587,128.89,131.01,97664898,131.74,128.43,130.7179,707577,2021-01-05 05:00:00
588,127.72,126.6,155087970,131.0499,126.382,128.3502,1202574,2021-01-06 05:00:00
589,128.36,130.92,109578157,131.63,127.86,130.1539,718357,2021-01-07 05:00:00
590,132.43,132.05,105158245,132.63,130.23,131.5657,800069,2021-01-08 05:00:00
591,129.19,128.98,100617160,130.17,128.5,129.3232,775027,2021-01-11 05:00:00
592,128.5,128.8,91851145,129.69,126.86,128.4834,692719,2021-01-12 05:00:00
593,128.76,130.89,88636831,131.45,128.49,130.5588,596230,2021-01-13 05:00:00
594,130.8,128.91,89671755,131,128.76,129.7381,651392,2021-01-14 05:00:00
595,128.78,127.14,111196831,130.2242,127,128.264,713312,2021-01-15 05:00:00
596,127.78,127.83,90750329,128.71,126.938,127.6974,599768,2021-01-19 05:00:00
597,128.66,132.03,104134039,132.49,128.55,131.4664,668571,2021-01-20 05:00:00
598,133.8,136.87,120256319,139.67,133.59,135.8584,834998,2021-01-21 05:00:00
599,136.28,139.07,114234010,139.85,135.02,137.8544,744041,2021-01-22 05:00:00
600,143.07,142.92,157588183,145.09,136.54,142.6255,1226813,2021-01-25 05:00:00
601,143.6,143.16,98390205,144.3,141.37,142.8442,743285,2021-01-26 05:00:00
602,143.43,142.06,140613944,144.3,140.41,142.3522,1155710,2021-01-27 05:00:00
603,139.52,137.09,142508399,141.99,136.7,139.1841,1239461,2021-01-28 05:00:00
604,135.83,131.96,177506312,136.74,130.21,132.7372,1695154,2021-01-29 05:00:00
605,133.75,134.14,106239823,135.38,130.93,133.7923,924206,2021-02-01 05:00:00
606,135.73,134.99,83259967,136.31,134.61,135.2222,689676,2021-02-02 05:00:00
607,135.76,133.94,85880937,135.77,133.61,134.6595,699067,2021-02-03 05:00:00
608,136.3,137.39,84141061,137.4,134.59,136.1869,658076,2021-02-04 05:00:00
609,137.35,136.76,75303830,137.42,135.86,136.6507,616037,2021-02-05 05:00:00
610,136.03,136.91,71297214,136.96,134.92,136.2094,614469,2021-02-08 05:00:00
611,136.62,136.01,76774213,137.877,135.85,136.7346,536824,2021-02-09 05:00:00
612,136.48,135.39,72546563,136.99,134.4,135.4825,605205,2021-02-10 05:00:00
613,135.9,135.13,64280029,136.39,133.77,134.8643,547785,2021-02-11 05:00:00
614,134.35,135.37,60136930,135.53,133.6921,134.5208,481804,2021-02-12 05:00:00
615,135.49,133.19,80576316,136.01,132.79,133.8643,741080,2021-02-16 05:00:00
616,131.25,130.84,97991849,132.22,129.47,130.5913,971318,2021-02-17 05:00:00
617,129.2,129.71,96156748,129.995,127.41,128.8633,859568,2021-02-18 05:00:00
618,130.24,129.87,87340834,130.71,128.8,129.766,683754,2021-02-19 05:00:00
619,128.01,126,103295419,129.72,125.6,127.0448,969980,2021-02-22 05:00:00
620,123.76,125.86,158252662,126.71,118.39,123.3074,1547442,2021-02-23 05:00:00
621,124.94,125.35,110789904,125.56,122.23,124.4278,965716,2021-02-24 05:00:00
622,124.68,120.99,148199540,126.4585,120.54,122.6039,1365697,2021-02-25 05:00:00
623,122.59,121.26,164559569,124.85,121.2,122.9199,1289339,2021-02-26 05:00:00
624,123.75,127.79,116307892,127.93,122.79,126.0528,924487,2021-03-01 05:00:00
625,128.41,125.12,102260945,128.72,125.01,126.1136,831904,2021-03-02 05:00:00
626,124.81,122.06,112966340,125.71,121.84,123.378,992159,2021-03-03 05:00:00
627,121.75,120.13,178049975,123.6,118.62,120.805,1689127,2021-03-04 05:00:00
628,120.98,121.42,153592201,121.935,117.57,119.7787,1472273,2021-03-05 05:00:00
629,120.93,116.36,154376610,121,116.21,117.9393,1540729,2021-03-08 05:00:00
630,119.03,121.085,129272780,122.06,118.79,120.6902,1009102,2021-03-09 05:00:00
631,121.69,119.98,111886327,122.17,119.45,120.3297,1031831,2021-03-10 05:00:00
632,122.54,121.96,102991014,123.21,121.26,122.0659,790211,2021-03-11 05:00:00
633,120.4,121.03,87955050,121.17,119.16,120.2455,762384,2021-03-12 05:00:00
634,121.41,123.99,92568955,124,120.42,122.9775,711876,2021-03-15 04:00:00
635,125.7,125.57,115226936,127.22,124.715,125.9513,835613,2021-03-16 04:00:00
636,124.05,124.76,111632636,125.8599,122.336,123.7795,896781,2021-03-17 04:00:00
637,122.88,120.53,121367255,123.18,120.32,121.6504,970641,2021-03-18 04:00:00
638,119.9,119.99,184668022,121.43,119.675,120.2005,881988,2021-03-19 04:00:00
639,120.33,123.39,111816184,123.87,120.26,122.8192,723652,2021-03-22 04:00:00
640,123.33,122.54,95051142,124.24,122.14,122.999,641822,2021-03-23 04:00:00
