NVDA,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
396,61.06,63.8675,67576452,64,60.5775,62.5731,176064,2020-04-02 04:00:00
397,63.49,60.9775,65881384,63.9075,59.5975,61.1507,182525,2020-04-03 04:00:00
398,63.81,67.1,72788248,67.47,63.2325,65.5856,196482,2020-04-06 04:00:00
399,69.325,64.7575,78452188,69.5625,64.325,66.4768,212499,2020-04-07 04:00:00
400,65.8525,66.7375,54244452,66.9875,65.15,66.2906,130946,2020-04-08 04:00:00
401,68,65.7375,52624780,68.23,65.105,66.2375,152436,2020-04-09 04:00:00
402,65.1375,67.4625,39840728,67.55,64.25,66.2767,114702,2020-04-13 04:00:00
403,68.75,70.9875,53094668,71.33,68.4723,70.3864,157288,2020-04-14 04:00:00
404,69.3,70.21,36614884,71.0418,68.845,70.0216,108687,2020-04-15 04:00:00
405,71.77,73.675,74562040,74.75,71.6375,73.3012,215924,2020-04-16 04:00:00
406,74.5,73.08,53912196,74.715,71.735,73.0174,174594,2020-04-17 04:00:00
407,71.81,71.7625,44938820,73.375,71.3175,72.3432,128255,2020-04-20 04:00:00
408,70.5775,67.3775,73515984,71.1925,66.7775,68.3216,240374,2020-04-21 04:00:00
409,69.3075,71.5375,48472912,71.9675,68.85,70.86,133252,2020-04-22 04:00:00
410,71.96,71.0025,42415952,73.2844,70.75,71.9887,119135,2020-04-23 04:00:00
411,70.9,72.3975,35264548,72.4175,70.15,71.5361,104571,2020-04-24 04:00:00
412,73.7475,74.27,47938796,75.875,73.5,74.6379,144898,2020-04-27 04:00:00
413,75.75,72.84,44290412,76.05,72.785,73.9869,134429,2020-04-28 04:00:00
414,74.1925,74.615,37916188,75.145,73.4375,74.5084,113579,2020-04-29 04:00:00
415,74.0732,73.07,37591772,74.615,72.93,73.5126,110160,2020-04-30 04:00:00
416,71.0875,70.695,34209780,72.225,70.2108,70.9641,120222,2020-05-01 04:00:00
417,70.22,72.8213,31755520,72.96,70.22,72.0502,107878,2020-05-04 04:00:00
418,73.8675,73.435,36889564,75.0675,72.8225,73.9979,113024,2020-05-05 04:00:00
419,74.2325,74.4475,32346556,75.5,73.8525,74.8414,96677,2020-05-06 04:00:00
420,75.845,76.2175,37373052,76.8525,75.3308,76.185,116008,2020-05-07 04:00:00
421,76.9375,78.125,33990712,78.1875,76.5975,77.7051,107204,2020-05-08 04:00:00
422,78.075,80.655,46866016,81.125,77.7875,80.2151,149129,2020-05-11 04:00:00
423,81.235,78.025,49305928,81.725,77.9275,80.161,150466,2020-05-12 04:00:00
424,79.175,77.8,62585008,80.785,75.9475,78.3706,197482,2020-05-13 04:00:00
425,78.4163,80.305,60231236,80.36,76.875,78.5965,169937,2020-05-14 04:00:00
426,78.8975,84.9075,98766172,85.005,78.74,81.8615,260232,2020-05-15 04:00:00
427,87.605,87.5025,77640344,89.165,86.805,87.7755,228489,2020-05-18 04:00:00
428,87.9025,88.055,71732196,90.875,87.6275,89.6938,209348,2020-05-19 04:00:00
429,89.91,89.7,58753620,90.43,88.8875,89.5767,168722,2020-05-20 04:00:00
430,90.515,87.7525,76106964,90.5241,87.375,88.5967,262332,2020-05-21 04:00:00
