LTCUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
103,159.04,144.62,594153.996117363,159.97,132.16,150.2536,108078,2021-12-13
104,144.66,150.5,406903.303219525,152.05,143,147.6907,92270,2021-12-14
105,150.45,153.65,516370.346097998,155.21,141.42,148.7616,106357,2021-12-15
106,153.62,148.79,348970.372902002,156.78,148.54,153.2692,71989,2021-12-16
107,148.86,144.12,390204.614800287,150.41,141.24,146.301,86546,2021-12-17
108,143.99,148.75,240417.997262401,150.4,142.87,147.5814,65581,2021-12-18
109,148.75,153.31,558335.662823497,161.07,147.59,154.6455,94592,2021-12-19
110,153.32,152.71,454702.414052953,157.49,145.29,150.9441,85237,2021-12-20
111,152.71,154.8,345158.352944189,156.47,149.1,153.2163,69430,2021-12-21
112,154.8,155.44,328344.999143708,160.24,153,156.6458,73212,2021-12-22
113,155.4,163.6,400669.774305786,165.3,153.04,158.6339,91244,2021-12-23
114,163.74,161.35,291001.897320857,166.92,160.23,163.5972,71205,2021-12-24
115,161.36,157.99,268364.955197178,163.72,157.58,161.2383,63094,2021-12-25
116,157.85,155.92,349284.476546707,158.55,153.16,155.9519,81735,2021-12-26
117,155.99,156.02,310691.964564364,161.37,154.38,157.7588,68723,2021-12-27
118,155.92,145.67,520256.062604296,155.96,144.44,149.9374,103026,2021-12-28
119,145.71,145.62,363350.364394241,150.99,144.09,147.9373,79955,2021-12-29
120,145.56,147.94,266620.116553044,150.05,142.61,147.0919,67481,2021-12-30
121,147.97,146.15,304946.978565463,152.82,143.63,148.1167,73413,2021-12-31
122,146.23,150.83,221240.910172807,151.04,146.12,148.6061,55983,2022-01-01
123,150.79,151.2,167895.910154449,153.42,147.83,150.4898,53777,2022-01-02
124,151.18,148.43,234905.461432109,151.25,146,149.0311,61439,2022-01-03
125,148.42,146.44,259374.803676838,151.67,145.23,148.5981,61913,2022-01-04
126,146.45,135.32,527971.574901358,149.93,129.77,141.571,102320,2022-01-05
127,135.35,135.9,518803.993323272,138.11,132.4,135.4757,96786,2022-01-06
128,135.85,131.34,602105.305163564,136.54,125.9,131.7089,113086,2022-01-07
129,131.33,129.51,382384.059643399,134.76,124.62,130.6143,84028,2022-01-08
130,129.43,130.91,271076.265518278,132.59,127.76,130.3991,61809,2022-01-09
131,130.85,126.52,470134.95023172,131.55,120.49,126.3907,84953,2022-01-10
132,126.51,131.67,334760.440889371,133.54,125.73,129.6589,68395,2022-01-11
133,131.67,142.05,317813.928952777,142.35,130.92,136.6014,70613,2022-01-12
134,141.99,136.81,313945.613895117,142.37,134.6,137.9882,69618,2022-01-13
135,136.8,144.84,463802.063686788,146.54,135.9,141.6604,91203,2022-01-14
136,144.84,147.73,326045.920332678,150.73,144.03,147.8426,78371,2022-01-15
137,147.86,146.49,212775.660954617,149.04,143.23,146.1652,61575,2022-01-16
138,146.46,151.19,572098.351318242,154.04,143.98,149.3779,113151,2022-01-17
139,151.2,141.53,517693.048097783,153.5,138.63,144.0076,95555,2022-01-18
140,141.53,136.2,380929.377240528,143.1,133.18,136.8689,75130,2022-01-19
141,136.34,129.8,356644.573544245,142.96,128.8,137.3731,72736,2022-01-20
142,129.67,114.51,914099.252014976,131.12,109.65,121.4242,133483,2022-01-21
143,114.51,108.41,1223167.45656075,121.52,96.335,107.6688,162840,2022-01-22
144,108.49,112.35,645952.22948616,112.9,105.61,108.6892,94888,2022-01-23
145,112.46,109.65,1023751.7963841,112.47,97.409,104.3982,139828,2022-01-24
146,109.6,107.9,458693.679903331,110.01,105.21,107.7841,92813,2022-01-25
147,107.85,107.06,621881.792397799,116.68,104.72,109.8486,119949,2022-01-26
148,107.09,106.92,479752.715760041,110.03,102.9,106.4501,98995,2022-01-27
149,107.02,109.49,363674.253340819,110.16,105.29,107.4476,93561,2022-01-28
150,109.49,110.84,288072.632511078,112.41,107.64,109.9691,78282,2022-01-29
151,110.85,108.59,248813.543480004,112.32,107.07,109.7252,69908,2022-01-30
152,108.61,109.55,360800.321292223,111.48,104.36,107.5756,83461,2022-01-31
153,109.53,115.13,363309.181802847,116.99,108.27,112.0391,91430,2022-02-01
154,115.15,108.36,337717.781196565,116.07,107.23,112.1514,92070,2022-02-02
155,108.36,111.02,306089.836272224,111.23,105.39,108.0585,82380,2022-02-03
156,111.03,121.42,387883.47430695,121.5,108.8,114.8537,101023,2022-02-04
157,121.47,121.8,315459.810508692,123.95,118.9,121.647,83141,2022-02-05
158,121.83,127.68,291382.153253663,128.25,120.66,124.2374,77212,2022-02-06
159,127.69,137.43,438104.519075785,139.97,125.07,132.5295,101282,2022-02-07
160,137.47,133.82,527521.93629854,143.1,130.57,136.4285,116950,2022-02-08
161,133.82,140.21,389668.239250457,141.12,132.12,137.7445,87658,2022-02-09
162,140.23,134.59,430858.021449223,144.07,133.9,138.7262,105201,2022-02-10
163,134.6,125.69,432398.669931146,134.93,124.92,130.8572,100610,2022-02-11
164,125.66,126.78,309344.217323862,127.74,120.92,124.7035,80024,2022-02-12
165,126.78,125.67,234151.484584691,128.97,123.55,126.2744,65558,2022-02-13
166,125.68,124.62,245467.296749001,127.06,121.41,124.2917,66401,2022-02-14
167,124.62,131.65,269060.603976034,132.69,124,129.4076,69471,2022-02-15
168,131.73,127.84,226769.932006552,131.87,125.52,128.6117,63009,2022-02-16
169,127.81,116.37,388602.189576084,129.07,114.9,122.1537,89924,2022-02-17
170,116.38,114.87,556491.282120809,123.61,113.84,117.9981,107191,2022-02-18
171,114.94,115.59,250271.854413235,117.3,113.07,115.4223,63265,2022-02-19
172,115.57,110.69,264682.767036731,115.81,108.4,111.0512,70951,2022-02-20
173,110.82,102.78,463700.619591095,114.7,102.04,109.2025,99152,2022-02-21
174,102.85,107.51,427130.994106225,107.99,100.28,104.443,87500,2022-02-22
175,107.51,105.42,287594.68909174,111.59,105,108.4054,69268,2022-02-23
176,105.58,104.33,868499.092381351,108.05,91.52,98.5283,166952,2022-02-24
177,104.25,109.33,370280.772962991,110.75,101.6,105.4493,80523,2022-02-25
178,109.35,108.29,290498.030689367,115.38,106.52,110.2,75547,2022-02-26
179,108.31,103.05,269773.351134563,110.23,101.27,105.9409,75919,2022-02-27
180,103.05,113.87,378420.502248508,114.03,101.27,107.1904,85647,2022-02-28
181,113.87,112.59,438152.428321104,116.31,109.95,112.8341,87288,2022-03-01
182,112.62,110.36,269925.444384357,114.8,109.17,111.6283,67584,2022-03-02
183,110.42,111.88,310497.924041429,113.11,107.89,110.7585,71427,2022-03-03
184,111.76,101.05,518472.233576659,112.71,98.94,104.6243,87012,2022-03-04
185,101.04,104.9,193575.38482458,105.4,99.43,102.4996,55624,2022-03-05
186,104.91,101.1,178813.404643607,106.06,100.67,103.2704,53083,2022-03-06
187,101.09,98.45,406233.349180306,103.98,96.25,99.8723,85477,2022-03-07
188,98.36,100.75,291769.53714853,102.65,97.77,100.3201,61493,2022-03-08
189,100.75,106.99,300234.614285117,109.32,100.44,106.2915,63684,2022-03-09
190,107.06,102.58,300044.153154523,107.15,99.56,102.4901,65564,2022-03-10
191,102.57,104.56,295115.253416626,107,99.72,103.3322,68492,2022-03-11
192,104.5,105.58,187111.245452349,108.06,104.5,106.1627,48323,2022-03-12
193,105.56,101.71,202415.455315069,107.48,101.01,104.7472,48502,2022-03-13
194,101.68,105.58,290775.309509838,106.48,100.82,103.6018,62855,2022-03-14
195,105.58,106.94,243914.719930049,108.7,102.51,105.5693,46714,2022-03-15
196,107.01,111.35,378824.037457153,112.29,105.69,108.7218,70862,2022-03-16
197,111.33,110.26,205152.48857731,111.77,108.62,110.299,46114,2022-03-17
198,110.27,111.9,204092.071192637,113.04,107.79,110.4959,55004,2022-03-18
199,111.92,116.82,265683.377388635,117.35,111.37,113.3863,59660,2022-03-19
200,116.8,114.88,307211.642174866,118.49,110.17,114.6321,65255,2022-03-20
201,114.9,116.13,260219.745903117,116.82,112.92,115.1484,57408,2022-03-21
202,116.11,122.79,424888.354100901,124.31,115.59,120.5499,81559,2022-03-22
203,122.84,122.51,258446.753242326,124.52,118.61,121.1021,66317,2022-03-23
204,122.52,126.52,339848.995285786,127.78,120.06,123.6448,110579,2022-03-24
205,126.53,124,283488.032221381,127.39,121.61,125.1524,116233,2022-03-25
206,124,124.86,152910.00787935,125.61,121.97,123.9573,53795,2022-03-26
207,124.85,129.66,220313.547631954,129.81,123.31,126.2653,64801,2022-03-27
208,129.65,127.59,309476.216569909,132.71,126.7,130.8212,81698,2022-03-28
209,127.5,130.08,242777.686726978,132.01,127.04,129.6306,72391,2022-03-29
210,130.08,131.12,306977.021512471,134.11,124.57,130.6768,83967,2022-03-30
211,131.17,123.87,457857.430110312,132.92,121.08,126.2637,112460,2022-03-31
212,123.87,124.88,268465.356557937,126.47,119.11,123.4503,76322,2022-04-01
213,124.85,124.9,200073.590626676,128.38,123.63,126.2194,62933,2022-04-02
214,124.83,128.77,188844.523710231,129.56,123.71,126.8334,54996,2022-04-03
215,128.76,124.76,261871.916126585,128.93,121.19,124.4996,62468,2022-04-04
216,124.79,122.76,153814.015740442,127.38,122.53,124.7981,51709,2022-04-05
217,122.79,111.68,402614.463490081,123.24,111.25,117.0442,98757,2022-04-06
218,111.66,114.14,223597.645917524,116.76,110.09,113.2129,67092,2022-04-07
219,114.12,110.74,228792.69051316,115.31,109.57,113.0235,68711,2022-04-08
220,110.68,112.7,137718.930380283,113,110,111.4647,54866,2022-04-09
221,112.69,110.26,160303.940189552,114.57,110.06,112.5999,54134,2022-04-10
222,110.31,102.54,317997.098005108,110.7,101.89,105.709,81497,2022-04-11
223,102.54,104.92,208891.334877762,105.84,101.72,103.9509,65440,2022-04-12
224,104.88,110.58,259549.114323121,110.84,103.94,107.9271,71427,2022-04-13
225,110.55,107.38,189829.810690306,112.33,105.97,108.9682,56957,2022-04-14
226,107.36,111,232706.143175977,112.96,107.04,110.6689,66558,2022-04-15
227,110.96,114.34,187394.498076627,114.96,110.12,112.2276,59626,2022-04-16
228,114.41,108.78,167185.892535668,115.23,108.27,112.6723,55642,2022-04-17
229,108.81,111.24,307206.5195116,111.56,105.28,107.9663,72521,2022-04-18
230,111.27,113.81,174995.499638052,114.18,110.61,112.3898,55947,2022-04-19
231,113.79,111.86,160848.303702123,114.21,110.63,112.4589,58670,2022-04-20
232,111.91,106.69,243767.433807941,114.58,105.39,110.9245,70645,2022-04-21
233,106.7,105.34,202522.54286148,108.73,104.76,106.8216,66432,2022-04-22
234,105.34,105.16,169865.916942016,107.25,103.97,106.0532,51258,2022-04-23
235,105.19,104.59,113834.828426342,106.02,103.5,104.8919,49080,2022-04-24
236,104.56,104.56,305241.024671731,104.94,98.34,101.8449,76466,2022-04-25
237,104.57,98.59,294851.351220861,105.41,96.36,101.3147,84843,2022-04-26
238,98.58,100.63,200423.320555362,101.96,97.72,99.9767,76156,2022-04-27
239,100.61,103.33,292121.829107489,104.44,99.72,102.111,77746,2022-04-28
240,103.32,100.39,235208.424601826,104.56,98.32,101.078,72449,2022-04-29
241,100.38,95.89,265408.03748458,101.63,94.05,99.4251,81721,2022-04-30
242,95.89,99.27,206157.4812159,100.07,94.38,97.416,79977,2022-05-01
243,99.27,100.65,232387.567943462,101.94,98.3,99.9707,73805,2022-05-02
244,100.63,99.35,196095.931534274,101.49,97.41,99.9826,71010,2022-05-03
245,99.32,106.2,303807.698943003,107.24,99,102.8866,78873,2022-05-04
246,106.28,96.84,365838.845225934,106.94,94.22,99.9857,86572,2022-05-05
247,96.881,96.69,317866.754802754,98.423,92.52,95.9348,87103,2022-05-06
248,96.71,94.27,189231.119875723,97.437,92.47,95.696,57209,2022-05-07
249,94.32,93.83,236815.532934642,95.84,91.46,93.5767,63238,2022-05-08
250,93.88,76.19,700192.18674714,94.965,75.25,84.3311,125751,2022-05-09
251,76.218,80.13,705478.709967259,85.044,73.289,80.393,124574,2022-05-10
252,80.15,66.31,980269.023803692,82.891,64,73.1992,170926,2022-05-11
253,66.33,64.18,978498.600904612,69.9,52,61.6953,183331,2022-05-12
254,64.29,67.78,777849.41036458,73.426,63.04,69.2636,135978,2022-05-13
255,67.75,68.81,453491.340683767,70.328,64.06,67.1787,84817,2022-05-14
256,68.8,71.5,488774.842100182,71.7,65.9,68.2929,73212,2022-05-15
257,71.48,67.13,444442.650759393,71.536,64.875,67.3159,75502,2022-05-16
258,67.16,73.04,496759.52244697,73.862,66.919,70.7981,68381,2022-05-17
259,73.04,65.83,461068.898673994,74.332,65.66,69.5167,73431,2022-05-18
260,65.89,72.02,448126.133405358,72.747,64.576,68.763,74329,2022-05-19
261,72.02,68.47,439999.882097112,73.455,66.67,69.432,76299,2022-05-20
262,68.46,69.866,227728.776402262,70.649,67.74,69.3516,50384,2022-05-21
263,69.76,71.61,215957.551877254,72.534,69.29,71.036,48908,2022-05-22
264,71.57,69.01,397773.530344189,73.938,68.23,71.094,62401,2022-05-23
265,68.97,70.2,426684.914329068,70.762,66.89,69.2211,71757,2022-05-24
266,70.17,68.16,350237.011142901,71.726,67.766,69.1285,70483,2022-05-25
267,68.16,63.43,483623.572947184,68.794,60.355,64.5133,90087,2022-05-26
268,63.36,61.5,325095.15192041,64.12,60.83,62.3566,69060,2022-05-27
269,61.47,62.99,221186.224077322,64.05,61.23,62.7383,46253,2022-05-28
270,62.97,63.58,237786.138743793,64.392,61.79,63.2455,44843,2022-05-29
271,63.58,69.05,353417.796544702,69.819,63.17,66.5722,54003,2022-05-30
272,69.07,68.32,242859.841888306,69.758,66.64,68.4742,58499,2022-05-31
273,68.35,62.64,454683.619595102,70.649,61.64,66.2501,81608,2022-06-01
274,62.681,64.4,265919.491148883,64.846,61.97,63.3471,59827,2022-06-02
275,64.37,62.54,206746.275611983,64.919,61.28,62.7774,55723,2022-06-03
276,62.52,63.73,182495.265373918,64.409,61.27,62.7558,49748,2022-06-04
277,63.69,63.1,166964.088006561,63.93,61.63,62.9209,44310,2022-06-05
278,63.07,64.38,253382.33757366,66.561,62.86,64.9929,56476,2022-06-06
