DOGEUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
199,0.1192,0.1236348,291020329.088357,0.12524,0.11822,0.1224,53086,2022-03-19
200,0.1237,0.11924,160773705.956461,0.1242,0.1175,0.1205,33620,2022-03-20
201,0.1193,0.1193,225526220.671096,0.1218,0.11762,0.1193,38061,2022-03-21
202,0.1192,0.1225,243129773.756862,0.12578,0.11855,0.1231,47181,2022-03-22
203,0.1224,0.1299,466992057.578674,0.1321,0.121,0.1272,69962,2022-03-23
204,0.1299,0.1368,697756804.645761,0.1416282,0.12756,0.1356,125058,2022-03-24
205,0.1369,0.1309,387824652.725818,0.1378,0.12742,0.1333,71405,2022-03-25
206,0.131,0.1361,286621782.582447,0.1372,0.129,0.1337,51076,2022-03-26
207,0.1361,0.1447,500291328.420778,0.1457,0.1355,0.1409,98019,2022-03-27
208,0.1447,0.1425,657341399.542319,0.153757,0.1405,0.1485,115182,2022-03-28
209,0.1424,0.1443912,326542632.002951,0.149,0.1405,0.1449,67598,2022-03-29
210,0.1445,0.1432,283579522.862728,0.1456,0.13789,0.1425,59354,2022-03-30
211,0.1431,0.1381,324760449.946208,0.148,0.13591,0.142,69840,2022-03-31
212,0.1381,0.1414,261582089.801747,0.143,0.13204,0.1375,60693,2022-04-01
213,0.14159,0.1388,193772057.174027,0.14448,0.13794,0.1416,49675,2022-04-02
214,0.1388,0.1466,318934046.357004,0.1496,0.1362,0.144,64752,2022-04-03
215,0.1466,0.1484,649136305.190859,0.1567,0.14113,0.148,112081,2022-04-04
216,0.1485,0.1728,1533197705.9413,0.1801,0.1472,0.1636,245792,2022-04-05
217,0.1728,0.1434,1115175771.28507,0.1747,0.1412,0.1549,182865,2022-04-06
218,0.1432,0.146,404719077.853731,0.14844,0.1399846,0.1441,79714,2022-04-07
219,0.14585,0.1426,444427722.883069,0.1534,0.1405,0.1475,92229,2022-04-08
220,0.1424,0.1443,109145049.864286,0.145158,0.14052,0.143,35014,2022-04-09
221,0.1443,0.1480568,560731580.185411,0.15783,0.1436,0.1518,110151,2022-04-10
222,0.1483,0.1340518,542764235.418189,0.15151,0.1329,0.1412,94320,2022-04-11
223,0.13403,0.1381,562390473.376658,0.14463,0.1331,0.1382,92712,2022-04-12
224,0.1381,0.14,204786054.044744,0.14352,0.13622,0.1398,50698,2022-04-13
225,0.1399,0.1441,501528806.902334,0.14788,0.1363,0.1426,105359,2022-04-14
226,0.1442,0.145921,280543735.713276,0.1497,0.14172,0.146,71571,2022-04-15
227,0.1459,0.1436,149822430.94049,0.14813,0.1409999,0.1444,45921,2022-04-16
228,0.1436,0.1393,142517815.398666,0.14504,0.13834,0.1423,39021,2022-04-17
