WTER,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
654,23.1,23.7,87780.2,24.15,22.95,23.673,4081,2021-07-16 04:00:00
655,23.55,23.85,138918.4,24,22.5,23.121,5086,2021-07-19 04:00:00
656,24.225,24.75,194881.4667,25.2,23.25,24.2385,7256,2021-07-20 04:00:00
657,25.5,26.4,335445.3333,27.45,24.9,26.0775,11540,2021-07-21 04:00:00
658,26.4,26.85,148816.8,27,25.5,26.3535,6590,2021-07-22 04:00:00
659,26.85,25.95,146569.2,27.45,24.15,25.719,6115,2021-07-23 04:00:00
660,26.55,26.25,108311.4,26.925,25.95,26.343,4641,2021-07-26 04:00:00
661,26.5035,26.25,106698.6667,26.55,24.45,25.536,5393,2021-07-27 04:00:00
662,26.25,27.75,199799.5333,28.05,25.8,27.057,8089,2021-07-28 04:00:00
663,28.05,27.9,142480.3333,28.65,26.85,27.7395,6632,2021-07-29 04:00:00
664,27.75,29.4,378679.6667,30.6,27.75,29.1465,14860,2021-07-30 04:00:00
665,30.8055,32.85,668622.1333,34.35,30.75,32.385,23871,2021-08-02 04:00:00
666,33,29.1,541990.4667,33.6,27.6,29.4795,17160,2021-08-03 04:00:00
667,29.4,28.65,185058.0667,29.7645,27.75,28.4685,8045,2021-08-04 04:00:00
668,28.95,31.2,247494.3333,31.5,28.65,30.2445,11865,2021-08-05 04:00:00
669,30.9,31.05,144941.4667,31.275,29.85,30.57,7093,2021-08-06 04:00:00
670,31.5,33.75,247962.2667,33.75,31.35,32.7975,10893,2021-08-09 04:00:00
671,33.3,32.7,236915.8667,35.25,31.9515,33.3225,10091,2021-08-10 04:00:00
672,33.3,32.7,143267.4667,33.6,31.8,32.619,6311,2021-08-11 04:00:00
673,32.331,32.25,97426.6667,32.7,31.5,31.941,4473,2021-08-12 04:00:00
674,32.4,30.75,117337.6,32.475,30.3,31.188,5346,2021-08-13 04:00:00
675,30.9375,28.8,224252.1333,31.05,27.975,28.9095,9265,2021-08-16 04:00:00
676,28.05,26.85,231311.3333,28.5,25.65,26.772,7980,2021-08-17 04:00:00
677,27,27.15,115188.8,28.8,26.25,27.5235,5844,2021-08-18 04:00:00
678,26.25,25.8,123336,27.15,25.65,26.2605,4764,2021-08-19 04:00:00
679,25.8,26.4,77993.9333,27,25.65,26.4195,3903,2021-08-20 04:00:00
680,26.85,27.6,94111.0667,28.3485,26.55,27.6975,4537,2021-08-23 04:00:00
681,27.6,28.5,67533.8,28.5,27.15,27.8415,3451,2021-08-24 04:00:00
682,28.35,28.65,106115.7333,29.7,28.05,29.121,4540,2021-08-25 04:00:00
683,29.175,28.05,72172.4667,29.55,27.45,28.308,3236,2021-08-26 04:00:00
684,27.9,28.5,44500.8667,28.9365,27.75,28.455,2499,2021-08-27 04:00:00
685,28.5,28.2,61483.1333,28.8,27.75,28.248,3070,2021-08-30 04:00:00
686,28.2,28.05,99895,28.35,27,27.699,4943,2021-08-31 04:00:00
687,28.3125,26.85,92591.2,28.3125,26.7,27.219,3979,2021-09-01 04:00:00
688,27,28.35,77839.6667,28.5,26.85,27.7215,3880,2021-09-02 04:00:00
689,28.5,27.3,60977.2,28.5,27.15,27.6195,3001,2021-09-03 04:00:00
690,27.5055,26.25,105891.6,27.75,25.95,26.6655,5023,2021-09-07 04:00:00
691,26.7,24.9,122902.9333,26.7,24.45,25.2885,5068,2021-09-08 04:00:00
692,24.9,25.2,62277.0667,25.8,24.45,25.2075,3117,2021-09-09 04:00:00
693,25.2,25.05,75453.4,25.2,24.15,24.633,3989,2021-09-10 04:00:00
694,24.75,25.35,177159,25.95,23.7,24.6525,6469,2021-09-13 04:00:00
695,25.35,24.3,93072.3333,25.5,24,24.54,5136,2021-09-14 04:00:00
696,24.15,24.6,37357.0667,24.9,24,24.486,2379,2021-09-15 04:00:00
697,24.15,23.85,90055,24.552,23.25,23.7225,5015,2021-09-16 04:00:00
698,24.15,24.6,103653,24.6,23.25,23.9625,3942,2021-09-17 04:00:00
699,23.85,22.95,102583.6,23.85,22.65,22.9665,4607,2021-09-20 04:00:00
700,22.95,22.95,61353.8,23.55,22.65,22.9995,3460,2021-09-21 04:00:00
701,22.95,23.55,47858.9333,24,22.95,23.4855,2399,2021-09-22 04:00:00
702,24,25.35,78359.3333,25.35,23.859,24.7965,4334,2021-09-23 04:00:00
703,25.35,24.3,50524.8667,25.35,24,24.7455,3039,2021-09-24 04:00:00
704,24.75,24,47163.2,25.05,24,24.3675,2700,2021-09-27 04:00:00
705,23.85,23.1,61048.4,23.8785,23.1,23.3865,3620,2021-09-28 04:00:00
706,23.4,22.95,45235.2,23.85,22.95,23.3085,3080,2021-09-29 04:00:00
707,23.4,23.85,55323,24.15,23.1,23.718,3623,2021-09-30 04:00:00
708,23.85,23.4,47701.5333,23.85,23.25,23.46,2928,2021-10-01 04:00:00
709,23.85,22.5,62834.3333,23.8875,22.5,22.926,3955,2021-10-04 04:00:00
710,22.5,21.3,118609.7333,22.65,21.15,21.759,5196,2021-10-05 04:00:00
711,21.6,23.55,251072.3333,24.15,20.4,22.518,10307,2021-10-06 04:00:00
712,24,25.8,393520.7333,26.25,22.8,24.681,14143,2021-10-07 04:00:00
713,26.4,25.5,277723.3333,27,23.55,25.218,10347,2021-10-08 04:00:00
714,24.9795,24.3,97169.4,25.5,24,24.6375,4919,2021-10-11 04:00:00
715,24.75,24.15,71984.6667,24.9,24,24.4065,4082,2021-10-12 04:00:00
716,24.3,23.85,88245,24.525,23.4,23.7675,3844,2021-10-13 04:00:00
717,24.15,24.15,66812.7333,24.45,23.7,23.985,3488,2021-10-14 04:00:00
718,24,23.4,61557.2667,24.099,23.25,23.634,3163,2021-10-15 04:00:00
719,23.55,22.8,80531.2667,23.6985,22.65,22.9845,3453,2021-10-18 04:00:00
720,23.4,23.1,74021.0667,23.4,22.8,23.0805,2928,2021-10-19 04:00:00
721,23.7735,24.15,109316.4,24.45,23.1,23.694,4440,2021-10-20 04:00:00
722,24.15,24.6,91159.8,24.6,23.7,24.156,3744,2021-10-21 04:00:00
723,24.15,23.55,113307.4,24.75,23.25,23.97,5705,2021-10-22 04:00:00
724,24,25.2,130714.5333,25.5,23.868,24.7365,5503,2021-10-25 04:00:00
725,25.2,25.5,108237.6,25.65,24.75,25.1865,4477,2021-10-26 04:00:00
726,25.5,24.45,102291.2667,25.95,24.45,24.9195,4618,2021-10-27 04:00:00
727,24.9,25.5,131713.9333,26.175,24.45,25.176,5950,2021-10-28 04:00:00
728,25.8,25.5,69676.0667,26.1,25.05,25.4625,3217,2021-10-29 04:00:00
729,25.8,26.1,238954.8667,27.525,25.5,26.4915,9780,2021-11-01 04:00:00
730,27.1395,25.95,120610.1333,27.1395,24.75,25.581,6373,2021-11-02 04:00:00
731,25.8,25.2,72292.1333,25.8,24.9,25.2075,3330,2021-11-03 04:00:00
732,25.2,25.2,86584.9333,25.65,25.05,25.2615,4363,2021-11-04 04:00:00
733,25.05,24.9,101499.6667,25.2,24,24.57,4310,2021-11-05 04:00:00
734,25.05,25.2,79499.6,25.5,24.45,25.122,4722,2021-11-08 05:00:00
735,25.05,24.15,114567.0667,25.2,24,24.303,4931,2021-11-09 05:00:00
736,23.799,24.6,234417.2667,24.6,22.8705,23.6595,8407,2021-11-10 05:00:00
737,24.3,22.65,354263.2667,24.45,22.5,23.0235,11120,2021-11-11 05:00:00
738,22.8,23.25,176897.8,23.25,21.45,22.3725,6582,2021-11-12 05:00:00
739,22.8,21.75,95413.6667,22.8,21.6,22.0695,4401,2021-11-15 05:00:00
740,21.75,20.85,133207.8,21.75,20.55,21.0045,5024,2021-11-16 05:00:00
741,21,20.85,91565.0667,22.65,20.7,21.1695,4308,2021-11-17 05:00:00
742,21,19.95,85256.3333,21,19.65,20.124,3456,2021-11-18 05:00:00
743,20.1,19.5,90083.2667,20.25,19.05,19.4415,3768,2021-11-19 05:00:00
744,19.5,18.3,167203.5333,19.65,17.7,18.387,6012,2021-11-22 05:00:00
745,18.15,18.15,78815.1333,19.05,18.0015,18.378,3404,2021-11-23 05:00:00
746,18.3,19.95,274047.2,20.7,18.003,19.7565,8388,2021-11-24 05:00:00
747,19.8,19.5,53590.8667,19.95,18.705,19.1925,2483,2021-11-26 05:00:00
748,19.5,18.45,107220.2,19.8,18.15,18.6675,4148,2021-11-29 05:00:00
749,18.3,18.75,69169.3333,19.05,17.85,18.372,3278,2021-11-30 05:00:00
750,19.05,18.15,126348.1333,20.7,18,19.14,5685,2021-12-01 05:00:00
751,18.3,18.15,91134.6,18.6,17.55,17.958,4153,2021-12-02 05:00:00
752,18,17.7,94859.2,18.3,16.95,17.4825,3492,2021-12-03 05:00:00
753,18.3,18.75,104215.8667,18.9,17.55,18.3885,5757,2021-12-06 05:00:00
754,19.5,20.4,166778.8,20.85,19.2,20.196,7095,2021-12-07 05:00:00
755,20.7,20.7,93736.9333,21,19.8,20.4465,4742,2021-12-08 05:00:00
756,20.85,20.7,140637.2,22.275,19.95,21.297,7681,2021-12-09 05:00:00
