TSLA,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
807,338.94,339.12,18703380,342.19,338,339.8226,245204,2021-11-17 05:00:00
808,338.18,341.27,22452333,342.45,337.12,340.1626,252477,2021-11-18 05:00:00
809,342.64,343.11,21903403,345.1,342.2,343.3237,267653,2021-11-19 05:00:00
810,344.62,339.83,31031113,349.67,339.55,343.9656,407010,2021-11-22 05:00:00
811,337.05,337.68,30252563,339.45,333.56,336.5601,388979,2021-11-23 05:00:00
812,336.28,337.91,21655557,338.16,333.911,336.6413,266154,2021-11-24 05:00:00
813,334.35,329.68,24217241,337.93,328.12,332.2818,360133,2021-11-26 05:00:00
814,334.94,336.63,28563481,339.03,334.74,336.9814,361924,2021-11-29 05:00:00
815,335.32,330.59,42885609,337.78,328.99,331.867,466083,2021-11-30 05:00:00
816,335.13,330.08,33401146,339.28,329.39,334.3751,489735,2021-12-01 05:00:00
817,330.3,329.49,30704852,333.49,327.8028,330.0851,435978,2021-12-02 05:00:00
818,331.99,323.01,41779279,332.7,318.03,322.6431,626436,2021-12-03 05:00:00
819,323.95,326.19,30032556,327.45,319.23,324.3146,416525,2021-12-06 05:00:00
820,331.64,334.92,31021936,335.8,330.1,334.1083,418516,2021-12-07 05:00:00
821,335.31,334.97,24760988,335.5,330.8,333.395,354291,2021-12-08 05:00:00
822,334.41,333.1,22214157,336.489,332.12,333.901,323814,2021-12-09 05:00:00
823,334.98,342.54,38095694,343,334.79,340.3678,415946,2021-12-10 05:00:00
824,340.68,339.4,28899431,343.79,339.08,340.802,333627,2021-12-13 05:00:00
825,333.22,328.34,44438696,334.64,324.11,328.0207,586397,2021-12-14 05:00:00
826,328.61,334.65,35381122,335.19,324.5,330.3825,459466,2021-12-15 05:00:00
827,335.71,324.9,35034831,336.76,323.02,327.6775,502538,2021-12-16 05:00:00
828,320.88,323.8,47883712,324.92,317.25,322.3973,462554,2021-12-17 05:00:00
829,320.05,319.91,28326532,322.8,317.57,319.6158,437500,2021-12-20 05:00:00
830,323.29,327.29,24740597,327.73,319.8,324.8129,366633,2021-12-21 05:00:00
831,328.3,333.2,24831493,333.605,325.75,330.8736,315700,2021-12-22 05:00:00
832,332.75,334.69,19617848,336.39,332.73,334.9327,244523,2021-12-23 05:00:00
833,335.46,342.45,19947029,342.48,335.43,340.5691,313725,2021-12-27 05:00:00
834,343.15,341.25,15661467,343.81,340.32,341.7182,229689,2021-12-28 05:00:00
835,341.3,341.95,15041956,344.3,339.68,341.9364,223483,2021-12-29 05:00:00
836,341.91,339.32,15994471,343.13,338.82,340.8846,213550,2021-12-30 05:00:00
837,338.51,336.32,17995517,339.355,335.85,336.9168,215861,2021-12-31 05:00:00
838,335.35,334.75,28918012,338,329.78,333.3801,395292,2022-01-03 05:00:00
839,334.83,329.01,32670706,335.2,326.12,329.4477,517992,2022-01-04 05:00:00
840,325.86,316.38,40054325,326.07,315.98,320.0278,640413,2022-01-05 05:00:00
841,313.15,313.88,39632144,318.7,311.49,315.2052,628047,2022-01-06 05:00:00
842,314.15,314.04,32710400,316.5,310.09,313.7812,499823,2022-01-07 05:00:00
843,309.485,314.27,44273717,314.72,304.69,309.9294,692526,2022-01-10 05:00:00
844,313.38,314.98,29386774,316.61,309.89,314.2093,421384,2022-01-11 05:00:00
845,319.67,318.27,34372217,323.41,317.08,319.4289,498637,2022-01-12 05:00:00
846,320.4658,304.8,45365979,320.88,304,309.6876,712340,2022-01-13 05:00:00
847,304.25,310.2,39844762,310.82,303.75,307.9922,527079,2022-01-14 05:00:00
848,304.07,302.65,42204112,309.8,301.74,304.6894,658678,2022-01-18 05:00:00
849,306.29,303.33,45933855,313.9093,302.7,308.2993,680162,2022-01-19 05:00:00
850,309.07,301.6,35380675,311.6494,301.14,307.057,552351,2022-01-20 05:00:00
851,302.685,296.03,57984403,304.11,295.61,299.621,887179,2022-01-21 05:00:00
852,292.2,296.37,86025393,297.11,276.05,288.8074,1302281,2022-01-24 05:00:00
853,291.52,288.49,72848368,294.99,285.17,288.3988,1113735,2022-01-25 05:00:00
854,307.985,296.71,90428853,308.5,293.03,300.3828,1195374,2022-01-26 05:00:00
855,302.66,299.84,53481317,307.3,297.93,302.4325,741935,2022-01-27 05:00:00
856,300.23,308.26,49743698,308.48,294.45,302.7982,696183,2022-01-28 05:00:00
857,308.95,310.98,46444536,312.38,306.37,309.4288,645244,2022-01-31 05:00:00
858,310.41,308.76,40950396,310.63,305.1293,307.3995,598895,2022-02-01 05:00:00
859,309.63,313.46,36635989,315.12,308.88,312.2137,513102,2022-02-02 05:00:00
860,309.49,301.25,43729972,311.23,299.96,305.2465,585711,2022-02-03 05:00:00
861,300.21,305.94,35093302,308.8,299.97,305.3962,509726,2022-02-04 05:00:00
862,306.17,300.95,28533286,307.84,299.9,303.3434,426621,2022-02-07 05:00:00
863,301.25,304.56,32314988,305.561,299.95,303.6698,423786,2022-02-08 05:00:00
864,309.865,311.21,31280171,311.93,307.39,309.6261,444035,2022-02-09 05:00:00
865,304.04,302.38,45386199,309.12,300.7,304.061,608483,2022-02-10 05:00:00
866,303.19,295.04,39160620,304.29,294.22,298.1235,615557,2022-02-11 05:00:00
867,293.77,295,36359487,296.76,291.35,294.405,539722,2022-02-14 05:00:00
868,300.008,300.47,27370688,300.8,297.02,299.5681,400816,2022-02-15 05:00:00
869,298.365,299.5,29970121,300.87,293.68,297.4874,415675,2022-02-16 05:00:00
870,296.36,290.73,32461580,296.8,290,292.994,507106,2022-02-17 05:00:00
871,293.05,287.93,34256508,293.86,286.305,289.1356,554368,2022-02-18 05:00:00
872,285,287.72,41736117,291.54,284.5,287.6534,605791,2022-02-22 05:00:00
873,290.18,280.27,37797167,291.7,280.1,284.2303,647355,2022-02-23 05:00:00
874,272.51,294.59,56989686,295.16,271.52,285.4542,809370,2022-02-24 05:00:00
875,295.14,297.31,32546721,297.63,291.655,295.6957,521051,2022-02-25 05:00:00
876,294.31,298.79,34627457,299.14,293,296.5331,452982,2022-02-28 05:00:00
877,296.4,294.95,31217778,299.97,292.15,295.8563,468639,2022-03-01 05:00:00
878,295.36,300.19,31873007,301.47,293.698,298.8646,531573,2022-03-02 05:00:00
879,302.89,295.92,27314469,303.13,294.05,297.4481,408448,2022-03-03 05:00:00
880,294.29,289.86,32369655,295.66,287.165,289.9672,539374,2022-03-04 05:00:00
881,288.53,278.91,43157178,289.69,278.53,281.6699,672964,2022-03-07 05:00:00
882,277.8,275.85,48157675,283.96,270,276.5819,700050,2022-03-08 05:00:00
883,283.44,288.5,35204480,289.6,280.78,286.2058,506108,2022-03-09 05:00:00
884,283.02,285.59,30628012,286.6,280.58,283.9699,461547,2022-03-10 05:00:00
885,287.96,280.07,27209330,289.51,279.43,283.7288,421226,2022-03-11 05:00:00
886,280.34,276.44,30660747,285.3992,275.82,279.6999,435907,2022-03-14 04:00:00
887,280.35,287.15,34245085,287.82,278.725,284.064,507324,2022-03-15 04:00:00
888,289.11,294.39,37729529,294.57,283.2,290.7357,532827,2022-03-16 04:00:00
889,293.29,295.22,30802133,295.61,289.37,293.1691,434753,2022-03-17 04:00:00
890,295.37,300.43,43222225,301,292.73,297.9485,416437,2022-03-18 04:00:00
891,298.89,299.16,28351245,300.14,294.9,297.8602,437234,2022-03-21 04:00:00
892,299.8,304.06,27599689,305,298.77,303.1289,404197,2022-03-22 04:00:00
893,300.51,299.49,25715377,303.23,297.7201,300.5899,359919,2022-03-23 04:00:00
894,299.14,304.1,24484456,304.2,298.315,301.84,318259,2022-03-24 04:00:00
895,305.23,303.68,22566453,305.5,299.2855,302.5129,340082,2022-03-25 04:00:00
896,304.33,310.7,29553438,310.8,304.33,308.8785,368660,2022-03-28 04:00:00
897,313.91,315.41,30393403,315.82,309.05,313.2741,423166,2022-03-29 04:00:00
898,313.76,313.86,28163555,315.95,311.58,313.7134,340160,2022-03-30 04:00:00
899,313.9,308.31,33422070,315.14,307.89,310.4193,355031,2022-03-31 04:00:00
900,309.37,309.42,27101029,310.13,305.54,308.0485,315032,2022-04-01 04:00:00
