AMPUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
180,0.02688,1.0289,108674883.231781,1.0415,0.02655,0.0294,25659,2022-02-28
181,0.02933,0.02885,130249971.438285,1.0983,0.02851,0.0299,29201,2022-03-01
182,0.02884,0.02832,98463184.3024126,1.091,0.02802,0.0297,23555,2022-03-02
183,0.02829,0.02753,167051196.528011,1.0657,0.02701,0.0295,29267,2022-03-03
184,0.02751,0.02664,95462582.2530208,0.96105,0.02617,0.0283,22505,2022-03-04
185,0.02662,0.93691,77085012.2128083,0.94399,0.02651,0.0285,20340,2022-03-05
186,0.02701,0.02606,75037883.0278483,0.98092,0.026,0.0286,17704,2022-03-06
187,0.02608,0.02497,127027504.469344,0.94538,0.02454,0.0271,23994,2022-03-07
188,0.903,0.91137,90132335.4814725,0.9309,0.0247,0.0261,19949,2022-03-08
189,0.02497,0.02596,127308546.603716,0.9811,0.02485,0.0268,24975,2022-03-09
190,0.02594,0.02578,129485993.360743,1.1452,0.02461,0.0267,29928,2022-03-10
191,0.02581,0.02468,81497149.7028409,0.96525,0.02455,0.0273,21466,2022-03-11
192,0.02467,0.02468,58326623.4940254,0.95556,0.02461,0.026,16443,2022-03-12
193,0.02468,0.02433,127916813.697907,0.96127,0.02424,0.0256,20410,2022-03-13
194,0.02432,0.02467,81216792.7772664,0.96499,0.02409,0.0255,20881,2022-03-14
195,0.02463,0.02452,83056701.7184341,0.98106,0.02415,0.0259,18855,2022-03-15
196,0.0245,0.02522,89609745.3401171,1.1307,0.02439,0.0292,21689,2022-03-16
197,0.02523,0.02502,65001020.8563895,1.1127,0.025,0.0269,18327,2022-03-17
198,0.02502,0.02515,107635214.482832,1.0706,0.0244,0.0268,24936,2022-03-18
199,0.02512,0.02695,230717200.573332,1.0769,0.02511,0.0265,35384,2022-03-19
200,0.02699,0.02552,113011433.099501,1.0725,0.0254,0.0265,24540,2022-03-20
201,0.02548,0.02617,166654558.049346,1.1326,0.0252,0.0267,30088,2022-03-21
202,0.02616,0.02633,241367534.191453,1.1498,0.02616,0.028,40091,2022-03-22
203,0.02633,0.02676,176550593.422139,1.0862,0.02618,0.0269,31073,2022-03-23
204,0.02676,0.02695,188908181.428564,1.1044,0.02641,0.0271,36108,2022-03-24
205,0.02695,0.02608,190925678.914872,1.1042,0.02588,0.0272,34245,2022-03-25
206,0.02605,0.02636,102034047.391638,1.1042,0.02569,0.0277,22075,2022-03-26
207,0.02636,0.02786,169347731.850482,1.1316,0.02626,0.0274,30727,2022-03-27
208,0.02783,0.02704,278211510.750952,1.1954,0.02703,0.028,44915,2022-03-28
209,0.02704,0.02727,199671038.116263,1.2361,0.0267,0.0277,34174,2022-03-29
210,0.02727,0.02759,206075610.078694,1.2015,0.02696,0.0277,32542,2022-03-30
211,0.02757,0.02695,336068352.747672,1.1987,0.0268,0.0286,45769,2022-03-31
212,0.02695,0.02737,203273558.852788,1.126,0.02643,0.0274,30568,2022-04-01
213,0.02737,0.02751,266214400.893968,1.1365,0.02692,0.0276,35090,2022-04-02
214,0.02751,0.02779,258874381.608592,1.1362,0.02707,0.0284,34351,2022-04-03
215,0.02778,0.02828,412517681.475424,1.0826,0.02721,0.0286,53473,2022-04-04
216,0.0283,0.02734,241061487.642944,1.1193,0.02721,0.0285,32668,2022-04-05
217,0.02737,0.02507,279734224.541589,1.0994,0.025,0.0266,33733,2022-04-06
218,0.02507,0.02535,167242859.530679,1.0272,0.02491,0.0256,24224,2022-04-07
219,0.02533,0.02449,147686114.065902,1.0436,0.02426,0.0253,23254,2022-04-08
220,0.02447,0.02504,107863592.965052,1.0378,0.02417,0.0251,18426,2022-04-09
221,0.02506,0.02457,108514955.620024,1.0994,0.02443,0.0253,18442,2022-04-10
222,0.02458,0.02252,228096313.946457,1.0722,0.02246,0.0243,29013,2022-04-11
223,0.02255,0.02318,146375912.881764,1.0956,0.0225,0.0244,25132,2022-04-12
224,0.02318,0.02334,174877682.341307,1.0993,0.02287,0.0273,27082,2022-04-13
225,0.02332,0.02247,162786297.306278,1.1086,0.0223,0.0235,22924,2022-04-14
226,0.02247,0.02252,103809140.60405,1.0996,0.02223,0.0233,17829,2022-04-15
227,0.02252,0.02259,71186362.0381181,1.0813,0.02238,0.0228,14918,2022-04-16
228,0.02261,0.02224,73340466.4231732,1.0856,0.02216,0.023,13262,2022-04-17
229,0.02224,0.02162,167143378.343304,1.095,0.0209,0.0223,23764,2022-04-18
230,0.02162,0.0222,93166229.0358725,1.1387,0.02162,0.023,17929,2022-04-19
231,0.02222,0.02266,186562942.5596,1.1598,0.02186,0.0237,28959,2022-04-20
232,0.02266,0.02445,258629904.102651,1.1981,0.02181,0.0236,35115,2022-04-21
233,0.02453,0.02262,369056244.117181,1.2248,0.02262,0.0239,47762,2022-04-22
234,0.02262,0.02202,192891009.161666,1.2188,0.02186,0.023,23816,2022-04-23
235,0.02205,0.02169,108470394.629793,1.2472,0.02153,0.0232,17805,2022-04-24
236,0.02171,0.02167,292501080.743878,1.2074,0.02109,0.0222,39085,2022-04-25
